Date,SMB,HML
2019-03-04,-0.42,0.37
2019-03-05,-0.31,-0.23
2019-03-06,-1.26,0.07
2019-03-07,-0.06,-0.32
2019-03-08,0.06,-0.17
2019-03-11,0.35,-0.54
2019-03-12,-0.27,-0.09
2019-03-13,-0.32,0.08
2019-03-14,-0.4,0.3
2019-03-15,-0.27,-0.27
2019-03-18,0.13,0.43
2019-03-19,-0.38,-0.92
2019-03-20,0.02,-1.02
2019-03-21,0.3,-1.24
2019-03-22,-1.51,-0.06
2019-03-25,0.66,-0.27
2019-03-26,0.17,0.45
2019-03-27,0.09,0.49
2019-03-28,0.35,0.02
2019-03-29,-0.21,-0.92
2019-04-01,-0.32,0.97
2019-04-02,-0.12,-0.44
2019-04-03,0.21,-0.39
2019-04-04,0.2,0.93
2019-04-05,0.52,-0.08
2019-04-08,-0.3,0.1
2019-04-09,-0.57,-0.13
2019-04-10,0.96,-0.11
2019-04-11,-0.32,0.39
2019-04-12,-0.52,0.64
2019-04-15,-0.21,-0.54
2019-04-16,0.12,0.69
2019-04-17,-0.71,0.8
2019-04-18,-0.24,-0.49
2019-04-22,-0.45,-0.54
2019-04-23,0.71,-0.51
2019-04-24,0.28,-0.09
2019-04-25,-0.75,-0.19
2019-04-26,0.46,0.02
2019-04-29,0.1,0.64
2019-04-30,-0.69,0.27
2019-05-01,-0.11,-0.02
2019-05-02,0.46,-0.29
2019-05-03,0.93,-0.27
2019-05-06,0.6,-0.4
2019-05-07,-0.29,0.51
2019-05-08,-0.15,-0.29
2019-05-09,0.08,0.12
2019-05-10,-0.36,0.07
2019-05-13,-0.72,0.3
2019-05-14,0.4,-0.06
2019-05-15,0.05,-0.95
2019-05-16,-0.38,-0.3
2019-05-17,-0.8,0.3
2019-05-20,-0.2,0.74
2019-05-21,0.41,-0.34
2019-05-22,-0.49,-0.6
2019-05-23,-0.69,-0.26
2019-05-24,0.5,0.3
2019-05-28,0.28,-0.62
2019-05-29,-0.27,0.42
2019-05-30,-0.27,-0.77
2019-05-31,-0.21,-0.11
2019-06-03,0.33,1.67
2019-06-04,0.4,-0.05
