;area;parola_cercata;date;media;median;count;stato
0;EU;AstraZeneca;2021-03-01;0,0;0,0;0;Austria
1;EU;AstraZeneca;2021-03-02;0,0;0,0;0;Austria
2;EU;AstraZeneca;2021-03-03;0,0;0,0;0;Austria
3;EU;AstraZeneca;2021-03-04;0,0;0,0;0;Austria
4;EU;AstraZeneca;2021-03-05;0,0;0,0;1;Austria
5;EU;AstraZeneca;2021-03-06;0,0;0,0;0;Austria
6;EU;AstraZeneca;2021-03-07;-0,6652;-0,6652;1;Austria
7;EU;AstraZeneca;2021-03-08;0,0;0,0;0;Austria
8;EU;AstraZeneca;2021-03-09;0,0;0,0;0;Austria
9;EU;AstraZeneca;2021-03-10;0,4404;0,4404;1;Austria
10;EU;AstraZeneca;2021-03-11;-0,148;-0,148;2;Austria
11;EU;AstraZeneca;2021-03-12;-0,125;-0,125;2;Austria
12;EU;AstraZeneca;2021-03-13;0,242;0,242;1;Austria
13;EU;AstraZeneca;2021-03-14;0,03529999999999997;0,03529999999999997;2;Austria
14;EU;AstraZeneca;2021-03-15;-0,5106;-0,2882142857142857;7;Austria
15;EU;AstraZeneca;2021-03-16;0,1366;0,057325000000000015;4;Austria
16;EU;AstraZeneca;2021-03-17;0,0;-0,048911331775701;1712;Austria
17;EU;AstraZeneca;2021-03-18;0,0;0,12137223206667529;15237;Austria
18;EU;AstraZeneca;2021-03-19;0,0;0,08421772198633756;10834;Austria
19;EU;AstraZeneca;2021-03-20;0,0;-0,03964713046379635;5994;Austria
20;EU;AstraZeneca;2021-03-21;0,0;-0,08786482958665692;4137;Austria
21;EU;AstraZeneca;2021-03-22;0,1613;0,16750269882970661;12561;Austria
22;EU;AstraZeneca;2021-03-23;0,0;0,031452325776658414;11910;Austria
23;EU;AstraZeneca;2021-03-24;0,0;-0,01068311311165971;6887;Austria
24;EU;AstraZeneca;2021-03-25;0,0;0,06393238589456308;8479;Austria
25;EU;AstraZeneca;2021-03-26;0,0;0,020692387543252325;4335;Austria
26;EU;AstraZeneca;2021-03-27;0,0;0,04507802919708016;2740;Austria
27;EU;AstraZeneca;2021-03-28;0,0;0,03706101882613512;1806;Austria
28;EU;AstraZeneca;2021-03-29;0,0;0,02630766000000003;5000;Austria
29;EU;AstraZeneca;2021-03-30;0,0;-0,05021556048057854;8573;Austria
30;EU;AstraZeneca;2021-03-31;0,0;0,0;0;Austria
0;EU;AstraZeneca;2021-03-01;0,0;0,0;0;Belgium
1;EU;AstraZeneca;2021-03-02;0,0;0,0;0;Belgium
2;EU;AstraZeneca;2021-03-03;0,0;0,0;0;Belgium
3;EU;AstraZeneca;2021-03-04;0,0;0,0;0;Belgium
4;EU;AstraZeneca;2021-03-05;0,0;0,0;1;Belgium
5;EU;AstraZeneca;2021-03-06;0,0;0,0;0;Belgium
6;EU;AstraZeneca;2021-03-07;-0,6652;-0,6652;1;Belgium
7;EU;AstraZeneca;2021-03-08;0,0;0,0;0;Belgium
8;EU;AstraZeneca;2021-03-09;0,0;0,0;0;Belgium
9;EU;AstraZeneca;2021-03-10;0,4404;0,4404;1;Belgium
10;EU;AstraZeneca;2021-03-11;-0,148;-0,148;2;Belgium
11;EU;AstraZeneca;2021-03-12;-0,125;-0,125;2;Belgium
12;EU;AstraZeneca;2021-03-13;0,242;0,242;1;Belgium
13;EU;AstraZeneca;2021-03-14;0,03529999999999997;0,03529999999999997;2;Belgium
14;EU;AstraZeneca;2021-03-15;-0,5106;-0,2882142857142857;7;Belgium
15;EU;AstraZeneca;2021-03-16;0,1366;0,057325000000000015;4;Belgium
16;EU;AstraZeneca;2021-03-17;0,0;-0,048911331775701;1712;Belgium
17;EU;AstraZeneca;2021-03-18;0,0;0,12137223206667529;15237;Belgium
18;EU;AstraZeneca;2021-03-19;0,0;0,08421772198633756;10834;Belgium
19;EU;AstraZeneca;2021-03-20;0,0;-0,03964713046379635;5994;Belgium
20;EU;AstraZeneca;2021-03-21;0,0;-0,08786482958665692;4137;Belgium
21;EU;AstraZeneca;2021-03-22;0,1613;0,16750269882970661;12561;Belgium
22;EU;AstraZeneca;2021-03-23;0,0;0,031452325776658414;11910;Belgium
23;EU;AstraZeneca;2021-03-24;0,0;-0,01068311311165971;6887;Belgium
24;EU;AstraZeneca;2021-03-25;0,0;0,06393238589456308;8479;Belgium
25;EU;AstraZeneca;2021-03-26;0,0;0,020692387543252325;4335;Belgium
26;EU;AstraZeneca;2021-03-27;0,0;0,04507802919708016;2740;Belgium
27;EU;AstraZeneca;2021-03-28;0,0;0,03706101882613512;1806;Belgium
28;EU;AstraZeneca;2021-03-29;0,0;0,02630766000000003;5000;Belgium
29;EU;AstraZeneca;2021-03-30;0,0;-0,05021556048057854;8573;Belgium
30;EU;AstraZeneca;2021-03-31;0,0;0,0;0;Belgium
0;EU;AstraZeneca;2021-03-01;0,0;0,0;0;Bulgaria
1;EU;AstraZeneca;2021-03-02;0,0;0,0;0;Bulgaria
2;EU;AstraZeneca;2021-03-03;0,0;0,0;0;Bulgaria
3;EU;AstraZeneca;2021-03-04;0,0;0,0;0;Bulgaria
4;EU;AstraZeneca;2021-03-05;0,0;0,0;1;Bulgaria
5;EU;AstraZeneca;2021-03-06;0,0;0,0;0;Bulgaria
6;EU;AstraZeneca;2021-03-07;-0,6652;-0,6652;1;Bulgaria
7;EU;AstraZeneca;2021-03-08;0,0;0,0;0;Bulgaria
8;EU;AstraZeneca;2021-03-09;0,0;0,0;0;Bulgaria
9;EU;AstraZeneca;2021-03-10;0,4404;0,4404;1;Bulgaria
10;EU;AstraZeneca;2021-03-11;-0,148;-0,148;2;Bulgaria
11;EU;AstraZeneca;2021-03-12;-0,125;-0,125;2;Bulgaria
12;EU;AstraZeneca;2021-03-13;0,242;0,242;1;Bulgaria
13;EU;AstraZeneca;2021-03-14;0,03529999999999997;0,03529999999999997;2;Bulgaria
14;EU;AstraZeneca;2021-03-15;-0,5106;-0,2882142857142857;7;Bulgaria
15;EU;AstraZeneca;2021-03-16;0,1366;0,057325000000000015;4;Bulgaria
16;EU;AstraZeneca;2021-03-17;0,0;-0,048911331775701;1712;Bulgaria
17;EU;AstraZeneca;2021-03-18;0,0;0,12137223206667529;15237;Bulgaria
18;EU;AstraZeneca;2021-03-19;0,0;0,08421772198633756;10834;Bulgaria
19;EU;AstraZeneca;2021-03-20;0,0;-0,03964713046379635;5994;Bulgaria
20;EU;AstraZeneca;2021-03-21;0,0;-0,08786482958665692;4137;Bulgaria
21;EU;AstraZeneca;2021-03-22;0,1613;0,16750269882970661;12561;Bulgaria
22;EU;AstraZeneca;2021-03-23;0,0;0,031452325776658414;11910;Bulgaria
23;EU;AstraZeneca;2021-03-24;0,0;-0,01068311311165971;6887;Bulgaria
24;EU;AstraZeneca;2021-03-25;0,0;0,06393238589456308;8479;Bulgaria
25;EU;AstraZeneca;2021-03-26;0,0;0,020692387543252325;4335;Bulgaria
26;EU;AstraZeneca;2021-03-27;0,0;0,04507802919708016;2740;Bulgaria
27;EU;AstraZeneca;2021-03-28;0,0;0,03706101882613512;1806;Bulgaria
28;EU;AstraZeneca;2021-03-29;0,0;0,02630766000000003;5000;Bulgaria
29;EU;AstraZeneca;2021-03-30;0,0;-0,05021556048057854;8573;Bulgaria
30;EU;AstraZeneca;2021-03-31;0,0;0,0;0;Bulgaria
0;EU;AstraZeneca;2021-03-01;0,0;0,0;0;Norway
1;EU;AstraZeneca;2021-03-02;0,0;0,0;0;Norway
2;EU;AstraZeneca;2021-03-03;0,0;0,0;0;Norway
3;EU;AstraZeneca;2021-03-04;0,0;0,0;0;Norway
4;EU;AstraZeneca;2021-03-05;0,0;0,0;1;Norway
5;EU;AstraZeneca;2021-03-06;0,0;0,0;0;Norway
6;EU;AstraZeneca;2021-03-07;-0,6652;-0,6652;1;Norway
7;EU;AstraZeneca;2021-03-08;0,0;0,0;0;Norway
8;EU;AstraZeneca;2021-03-09;0,0;0,0;0;Norway
9;EU;AstraZeneca;2021-03-10;0,4404;0,4404;1;Norway
10;EU;AstraZeneca;2021-03-11;-0,148;-0,148;2;Norway
11;EU;AstraZeneca;2021-03-12;-0,125;-0,125;2;Norway
12;EU;AstraZeneca;2021-03-13;0,242;0,242;1;Norway
13;EU;AstraZeneca;2021-03-14;0,03529999999999997;0,03529999999999997;2;Norway
14;EU;AstraZeneca;2021-03-15;-0,5106;-0,2882142857142857;7;Norway
15;EU;AstraZeneca;2021-03-16;0,1366;0,057325000000000015;4;Norway
16;EU;AstraZeneca;2021-03-17;0,0;-0,048911331775701;1712;Norway
17;EU;AstraZeneca;2021-03-18;0,0;0,12137223206667529;15237;Norway
18;EU;AstraZeneca;2021-03-19;0,0;0,08421772198633756;10834;Norway
19;EU;AstraZeneca;2021-03-20;0,0;-0,03964713046379635;5994;Norway
20;EU;AstraZeneca;2021-03-21;0,0;-0,08786482958665692;4137;Norway
21;EU;AstraZeneca;2021-03-22;0,1613;0,16750269882970661;12561;Norway
22;EU;AstraZeneca;2021-03-23;0,0;0,031452325776658414;11910;Norway
23;EU;AstraZeneca;2021-03-24;0,0;-0,01068311311165971;6887;Norway
24;EU;AstraZeneca;2021-03-25;0,0;0,06393238589456308;8479;Norway
25;EU;AstraZeneca;2021-03-26;0,0;0,020692387543252325;4335;Norway
26;EU;AstraZeneca;2021-03-27;0,0;0,04507802919708016;2740;Norway
27;EU;AstraZeneca;2021-03-28;0,0;0,03706101882613512;1806;Norway
28;EU;AstraZeneca;2021-03-29;0,0;0,02630766000000003;5000;Norway
29;EU;AstraZeneca;2021-03-30;0,0;-0,05021556048057854;8573;Norway
30;EU;AstraZeneca;2021-03-31;0,0;0,0;0;Norway
0;EU;AstraZeneca;2021-03-01;0,0;0,0;0;Croatia
1;EU;AstraZeneca;2021-03-02;0,0;0,0;0;Croatia
2;EU;AstraZeneca;2021-03-03;0,0;0,0;0;Croatia
3;EU;AstraZeneca;2021-03-04;0,0;0,0;0;Croatia
4;EU;AstraZeneca;2021-03-05;0,0;0,0;1;Croatia
5;EU;AstraZeneca;2021-03-06;0,0;0,0;0;Croatia
6;EU;AstraZeneca;2021-03-07;-0,6652;-0,6652;1;Croatia
7;EU;AstraZeneca;2021-03-08;0,0;0,0;0;Croatia
8;EU;AstraZeneca;2021-03-09;0,0;0,0;0;Croatia
9;EU;AstraZeneca;2021-03-10;0,4404;0,4404;1;Croatia
10;EU;AstraZeneca;2021-03-11;-0,148;-0,148;2;Croatia
11;EU;AstraZeneca;2021-03-12;-0,125;-0,125;2;Croatia
12;EU;AstraZeneca;2021-03-13;0,242;0,242;1;Croatia
13;EU;AstraZeneca;2021-03-14;0,03529999999999997;0,03529999999999997;2;Croatia
14;EU;AstraZeneca;2021-03-15;-0,5106;-0,2882142857142857;7;Croatia
15;EU;AstraZeneca;2021-03-16;0,1366;0,057325000000000015;4;Croatia
16;EU;AstraZeneca;2021-03-17;0,0;-0,048911331775701;1712;Croatia
17;EU;AstraZeneca;2021-03-18;0,0;0,12137223206667529;15237;Croatia
18;EU;AstraZeneca;2021-03-19;0,0;0,08421772198633756;10834;Croatia
19;EU;AstraZeneca;2021-03-20;0,0;-0,03964713046379635;5994;Croatia
20;EU;AstraZeneca;2021-03-21;0,0;-0,08786482958665692;4137;Croatia
21;EU;AstraZeneca;2021-03-22;0,1613;0,16750269882970661;12561;Croatia
22;EU;AstraZeneca;2021-03-23;0,0;0,031452325776658414;11910;Croatia
23;EU;AstraZeneca;2021-03-24;0,0;-0,01068311311165971;6887;Croatia
24;EU;AstraZeneca;2021-03-25;0,0;0,06393238589456308;8479;Croatia
25;EU;AstraZeneca;2021-03-26;0,0;0,020692387543252325;4335;Croatia
26;EU;AstraZeneca;2021-03-27;0,0;0,04507802919708016;2740;Croatia
27;EU;AstraZeneca;2021-03-28;0,0;0,03706101882613512;1806;Croatia
