,id,permalink,username,text,date,parola_cercata,location,area,citta,raggio
0,1377046670383312901,https://twitter.com/CarrieAtFFCa/status/1377046670383312901,CarrieAtFFCa,"AstraZeneca Changes Names Continues Use, Vaccine Lies &amp; Only Thing Keeping Mask Illusion Going Is Us via Rokfin https://t.co/AuGzczZSsV #Rokfin",2021-03-30,AstraZeneca,EU-Nord,EU,Amburg,200km
1,1377044675564027904,https://twitter.com/LibertyTreeWND/status/1377044675564027904,LibertyTreeWND,"DON'T GET THE JAB

Germany has temporarily halted the @AstraZeneca vaccine for people under the age of 60, while Canada has suspended its use for those under 55, amid concerns it might be linked to blood clots.

🇺🇸 https://t.co/YmrXX99fl9 🇺🇸 https://t.co/HTNUJIyOAc",2021-03-30,AstraZeneca,EU-Nord,EU,Amburg,200km
2,1377036854608953345,https://twitter.com/CatsProcurement/status/1377036854608953345,CatsProcurement,"US Army buys 100,000 doses of AstraZeneca antibody product to prevent or treat effects of #coronavirus for $205 million https://t.co/Iw9AJ04kdx",2021-03-30,AstraZeneca,EU-Nord,EU,Amburg,200km
3,1377036163828097028,https://twitter.com/starsandstripes/status/1377036163828097028,starsandstripes,Several health authorities in Germany announced Tuesday that they are again suspending the use of AstraZeneca’s coronavirus vaccine for residents under age 60 amid fresh reports of unusual blood clots in people who recently received the shots.  https://t.co/O7Pona40GK,2021-03-30,AstraZeneca,EU-Nord,EU,Amburg,200km
4,1377029433748557831,https://twitter.com/AJBlackston/status/1377029433748557831,AJBlackston,The Latest: Germany restricts use of AstraZeneca vaccine https://t.co/J9G0lzh9mR  #TodaysMedicalUpdate #Medicine #Health #Patients #NHS #FMRevolution #Today #Insurance #Pharmaceutical #Biotech #COVID19 #Coronavirus #Doctor #Policy #Vaccine #MedTech Please Retweet,2021-03-30,AstraZeneca,EU-Nord,EU,Amburg,200km
5,1377029299472007169,https://twitter.com/mirvatermos/status/1377029299472007169,mirvatermos,I would really like to know what’s up with the media and AstraZeneca.. it’s like there’s a curse haunting this vaccine. Every few days.. a new headline. What is going on!,2021-03-30,AstraZeneca,EU-Nord,EU,Amburg,200km
6,1377027784267141126,https://twitter.com/QContrarian/status/1377027784267141126,QContrarian,"$AZN awarded a $204,880,000 modification for a minimum of 100,000 doses of AZD7442, a combination antibody product intended to prevent or treat clinical effects of SARS-CoV-2

#military #defense #covid #stocks #investments #investors #AstraZeneca
 https://t.co/rqD3XhMhvv",2021-03-30,AstraZeneca,EU-Nord,EU,Amburg,200km
7,1377027257730887682,https://twitter.com/wilsonjnzuchi/status/1377027257730887682,wilsonjnzuchi,Germany has suspended the use of the AstraZeneca vaccine for anyone under 60 https://t.co/mHPChgpasH,2021-03-30,AstraZeneca,EU-Nord,EU,Amburg,200km
8,1377019148249657346,https://twitter.com/mirvatermos/status/1377019148249657346,mirvatermos,"Blood-clotting associated with AstraZeneca #COVID19 vaccines,
*Appears to be a rare event 
*Not more common in those with prior blood clots , family history of blood clotting or who are pregnant",2021-03-30,AstraZeneca,EU-Nord,EU,Amburg,200km
9,1377018013975785477,https://twitter.com/EINWorldNews/status/1377018013975785477,EINWorldNews,Covid: Germany limits use of AstraZeneca Covid jab for under-60s https://t.co/C69KolXMse,2021-03-30,AstraZeneca,EU-Nord,EU,Amburg,200km
10,1377015820560257026,https://twitter.com/NileGardiner/status/1377015820560257026,NileGardiner,"The terminal decline of the EU, writ large. Thank God for Brexit. 

""France/Germany were in negotiations on Tuesday with Vladimir Putin to supply the Russian Covid-19 vaccine to the EU after Angela Merkel suspended use of AstraZeneca jab for under-60s.""

https://t.co/Cezu6vDzMZ",2021-03-30,AstraZeneca,EU-Nord,EU,Amburg,200km
11,1377011116950360068,https://twitter.com/TheChestnutPost/status/1377011116950360068,TheChestnutPost,Germany restricts use of AstraZeneca vaccine to over 60s | DW News https://t.co/v4DJbfpCti,2021-03-30,AstraZeneca,EU-Nord,EU,Amburg,200km
12,1377008811366572034,https://twitter.com/xthisisawar/status/1377008811366572034,xthisisawar,Well. I for one am grateful that al-Shabaab weighted in on the AstraZeneca jab. Their scientists must have been analyzing this one around the clock. https://t.co/Rx9cXPAZKT,2021-03-30,AstraZeneca,EU-Nord,EU,Amburg,200km
13,1377002890003410947,https://twitter.com/RT_America/status/1377002890003410947,RT_America,"AstraZeneca's horrible branding problem — name change? 

@RickSanchezTV @FaranBalanced 

#QuestionMore

https://t.co/Wzqdd9zeau",2021-03-30,AstraZeneca,EU-Nord,EU,Amburg,200km
14,1377002184089423874,https://twitter.com/saluspopuliorg/status/1377002184089423874,saluspopuliorg,AstraZeneca Covid shots not recommended for under 55s in Canada https://t.co/Fc3DCWi5Mv via @FRANCE24,2021-03-30,AstraZeneca,EU-Nord,EU,Amburg,200km
15,1377001851636346885,https://twitter.com/JoseCardenasUSA/status/1377001851636346885,JoseCardenasUSA,"Venezuela’s government will ask a UN health program for Johnson &amp; Johnson’s Covid-19 vaccine that may not be available until July, eschewing AstraZeneca shots that would be accessible earlier https://t.co/PNIjVnNNV3 via @bpolitics",2021-03-30,AstraZeneca,EU-Nord,EU,Amburg,200km
16,1376999133232431117,https://twitter.com/AJBlackston/status/1376999133232431117,AJBlackston,Germany to restrict AstraZeneca use in under-60s over clots https://t.co/AIX2OhebRO  #TodaysMedicalUpdate #Medicine #Health #Patients #NHS #FMRevolution #Today #Insurance #Pharmaceutical #Biotech #COVID19 #Coronavirus #Doctor #Policy #Vaccine #MedTech Please Retweet,2021-03-30,AstraZeneca,EU-Nord,EU,Amburg,200km
17,1376995172991533057,https://twitter.com/NVICLoeDown/status/1376995172991533057,NVICLoeDown,#Berlin State Hospitals Pause #AstraZeneca Shots for Women Staff Under 55 - https://t.co/rUSEaF2hru https://t.co/JBqFUyzbVB,2021-03-30,AstraZeneca,EU-Nord,EU,Amburg,200km
18,1376993905149902848,https://twitter.com/LibertyTreeWND/status/1376993905149902848,LibertyTreeWND,".@AstraZeneca has renamed its COVID-19 vaccine, a move that coincides with the company’s struggle to reassure the public that its drug is safe, following numerous reports of potential adverse effects.

🇺🇸 https://t.co/YmrXX99fl9 🇺🇸 https://t.co/XRsgc9qP2N",2021-03-30,AstraZeneca,EU-Nord,EU,Amburg,200km
19,1376991706869067776,https://twitter.com/TBlackwe85/status/1376991706869067776,TBlackwe85,"#COVIDAlert: What's next for @AstraZeneca's #COVID19Vaccine in Canada? Should Canadians rely on the #COVID19Vaccine from other pharmaceutical companies? From last night's broadcast of @CBCTheNational, @AndrewChangCBC answer the questions to Drs. Susy Hota and Zain Chagla. https://t.co/szJnuwRBWa",2021-03-30,AstraZeneca,EU-Nord,EU,Amburg,200km
20,1376987892111773699,https://twitter.com/EINPresswireMS/status/1376987892111773699,EINPresswireMS,The Latest: Germany restricts use of AstraZeneca vaccine https://t.co/jNl1eWWsbM,2021-03-30,AstraZeneca,EU-Nord,EU,Amburg,200km
21,1376985425395466251,https://twitter.com/bigleaguepol/status/1376985425395466251,bigleaguepol,AstraZeneca Rebrands COVID-19 Vaccine After Public Becomes Aware of Its Dangerous Side Effects https://t.co/B7Nnc42H3b,2021-03-30,AstraZeneca,EU-Nord,EU,Amburg,200km
22,1376981929900265474,https://twitter.com/ChelmsfordMaria/status/1376981929900265474,ChelmsfordMaria,Shared article from AOL: Germany to restrict AstraZeneca use in under-60s over clots https://t.co/yo9j5CBKO5,2021-03-30,AstraZeneca,EU-Nord,EU,Amburg,200km
23,1376981871486205952,https://twitter.com/WatchOurCity/status/1376981871486205952,WatchOurCity,(AP News) The Latest: Germany restricts use of AstraZeneca vaccine https://t.co/5plrdhQbsd #Albania #Arizona #Arkansas #Asia #Business #California #Canada,2021-03-30,AstraZeneca,EU-Nord,EU,Amburg,200km
24,1376981302948298752,https://twitter.com/ScienceNews/status/1376981302948298752,ScienceNews,"The new analysis shows AstraZeneca’s COVID-19 vaccine has an efficacy of 76 percent, rather than the 79 percent originally reported. This slight decrease is not unexpected. https://t.co/oNNczvUiVf",2021-03-30,AstraZeneca,EU-Nord,EU,Amburg,200km
25,1376978804757909507,https://twitter.com/tomferg80/status/1376978804757909507,tomferg80,"Brexit was the worst decision made in a long time but on the vaccinations, the EU got it spectacularly wrong &amp; criticism of @AstraZeneca is uncalled for. Whilst other pharma companies will make billions #OxfordAstraZeneca won't make a profit. Their altruism should be welcomed!",2021-03-30,AstraZeneca,EU-Nord,EU,Amburg,200km
26,1376975533372801033,https://twitter.com/wbaltv11/status/1376975533372801033,wbaltv11,Germany to restrict AstraZeneca use in those under 60 years old over blood clot concerns https://t.co/NIF0EpxIkg,2021-03-30,AstraZeneca,EU-Nord,EU,Amburg,200km
27,1376973457481678853,https://twitter.com/PostWorld/status/1376973457481678853,PostWorld,German cities halt AstraZeneca vaccine for people under 60 due to clot worries https://t.co/Xg5gZMWq8G,2021-03-30,AstraZeneca,EU-Nord,EU,Amburg,200km
28,1376972529206759426,https://twitter.com/fox5dc/status/1376972529206759426,fox5dc,AstraZeneca vaccine use again suspended for people under 60 in parts of Germany https://t.co/S0UabcUUFQ,2021-03-30,AstraZeneca,EU-Nord,EU,Amburg,200km
29,1376971916670537731,https://twitter.com/MusserRyan/status/1376971916670537731,MusserRyan,AstraZeneca can’t catch a break https://t.co/lgryTHz5C2,2021-03-30,AstraZeneca,EU-Nord,EU,Amburg,200km
