,id,permalink,username,text,date,parola_cercata,location,area,citta,raggio
0,1377017887274192899,https://twitter.com/CountessBezuhov/status/1377017887274192899,CountessBezuhov,“The German chancellor Angela Merkel has said she is open to being vaccinated with the Oxford/Astrazeneca Covid-19 jab.” https://t.co/zKm5ic0TyU,2021-03-30,AstraZeneca,EU-est,EU,Bucarest,700km
1,1377012806722158593,https://twitter.com/anews/status/1377012806722158593,anews,"Rwanda has procured 500,000 doses of the AstraZeneca COVID-19 vaccine ahead of its rollout of the second jabs for its citizens set to begin on April 2, the country's health minister said on Tuesday. https://t.co/gr57esGLXi",2021-03-30,AstraZeneca,EU-est,EU,Bucarest,700km
2,1376993141723697159,https://twitter.com/Porschys/status/1376993141723697159,Porschys,Germany's vaccine regulator reports 31 cases of blood disorder after AstraZeneca shot. https://t.co/y1rYjhNcmS,2021-03-30,AstraZeneca,EU-est,EU,Bucarest,700km
3,1376968881097613313,https://twitter.com/montenegro90/status/1376968881097613313,montenegro90,"😒

Germany restricts use of AstraZeneca vaccine to over 60s in most cases
https://t.co/u82WMc6vo9",2021-03-30,AstraZeneca,EU-est,EU,Bucarest,700km
4,1376944766282133505,https://twitter.com/saswink/status/1376944766282133505,saswink,"So for the sake of conversation over the summer...
Pfizer = ak47
Moderna = m4a1
J&amp;J = Galil (my galil is legendary)
AstraZeneca = accidently buying a scout on a buy round

Antivaxxers = buying a SMG every round and providing no coms",2021-03-30,AstraZeneca,EU-est,EU,Bucarest,700km
5,1376936501662081034,https://twitter.com/N1info/status/1376936501662081034,N1info,#AstraZeneca vaccine renamed ‘#Vaxzevria’ https://t.co/NjWKcYKOSy,2021-03-30,AstraZeneca,EU-est,EU,Bucarest,700km
6,1376929962184282117,https://twitter.com/az_sum/status/1376929962184282117,az_sum,"Germany’s vaccine regulator said on Tuesday it has recorded 31 cases of a rare blood clot in the brain, nine of which resulted in deaths, after people received a COVID-19 vaccine from AstraZeneca. | Reuters https://t.co/ep8JAo2Ljm",2021-03-30,AstraZeneca,EU-est,EU,Bucarest,700km
7,1376918473310416906,https://twitter.com/JenniferSynn/status/1376918473310416906,JenniferSynn,"30% OFF first 15 subscribe ‼️ https://t.co/CubZPaL3lD ‼️
@OnlyFan39298413 @onlyfanzpromozz @OnlyFansHero  @OnlyFansPromoRT 

#AstraZeneca #bigbootyteen #bigasstwerk #white #brunettebeauty https://t.co/e2TyEop79I",2021-03-30,AstraZeneca,EU-est,EU,Bucarest,700km
8,1376902643596034050,https://twitter.com/ThePoisonIvy2/status/1376902643596034050,ThePoisonIvy2,"#AstraZeneca vaccine renamed '#Vaxzevria'

#vaccine #covid #vaccination  https://t.co/aBP45oVntR",2021-03-30,AstraZeneca,EU-est,EU,Bucarest,700km
9,1376893276381396997,https://twitter.com/anews/status/1376893276381396997,anews,The German state of Berlin is again suspending the use of AstraZeneca's coronavirus vaccine for people under 60 due to reports of blood clots. https://t.co/VrWCp3kk29,2021-03-30,AstraZeneca,EU-est,EU,Bucarest,700km
10,1376890133786550274,https://twitter.com/unevaguedefond/status/1376890133786550274,unevaguedefond,Covid-19 : le vaccin AstraZeneca change de nom https://t.co/mJcTmkN9qc,2021-03-30,AstraZeneca,EU-est,EU,Bucarest,700km
11,1376874485010288640,https://twitter.com/tax_management/status/1376874485010288640,tax_management,"🤔  “It’s appalling the way AstraZeneca has been treated. I wouldn’t blame them if they were thoroughly fed up and decided to bow out of the covid vaccine business.” 💉
#taxmanagement #newstaxmanagement #astrazeneca #covid #vaccine
https://t.co/yn1mDNGx4Q https://t.co/MnZoJGlSmD",2021-03-30,AstraZeneca,EU-est,EU,Bucarest,700km
12,1376873182133694466,https://twitter.com/RobertEVoicu/status/1376873182133694466,RobertEVoicu,Berlin halts AstraZeneca vaccines for under 60s https://t.co/ryvyHZEUky,2021-03-30,AstraZeneca,EU-est,EU,Bucarest,700km
13,1376864669386870786,https://twitter.com/mkcalik/status/1376864669386870786,mkcalik,"The rare cases of serious blood clots, known as vaccine-induced prothrombotic immune thrombocytopenia (VIPIT), have recently been reported in Europe following post-licensure use of the #AstraZeneca vaccine, primarily in women under the age of 55.
 https://t.co/cMAYxMa9aG
#COVID",2021-03-30,AstraZeneca,EU-est,EU,Bucarest,700km
14,1376860131057623044,https://twitter.com/RPD1023/status/1376860131057623044,RPD1023,"WATCH: Two Weeks Ago, Patty Hajdu Said Government Was 'Confident In The Safety Of AstraZeneca' https://t.co/8oT9M3CeIc",2021-03-30,AstraZeneca,EU-est,EU,Bucarest,700km
15,1376838655390711810,https://twitter.com/AndricRakic/status/1376838655390711810,AndricRakic,India got more than a third of the nearly 28 million Indian-made AstraZeneca COVID-19 vaccine doses delivered to COVAX https://t.co/79p0NOWrZn https://t.co/KtIcs4dFiG,2021-03-30,AstraZeneca,EU-est,EU,Bucarest,700km
16,1376827875832254464,https://twitter.com/MoldovaVisit/status/1376827875832254464,MoldovaVisit,"I'm happy to report that my 88 year old father in law received the AstraZeneca vaccine yesterday, with the only side effect being a bit of an ache in his arm.",2021-03-30,AstraZeneca,EU-est,EU,Bucarest,700km
17,1376825770513928194,https://twitter.com/UNICEFKosovo/status/1376825770513928194,UNICEFKosovo,"Selman Jusufi, 69 years old, citizen of Kosovo, volunteered to receive Astra Zeneca vaccine. When asked how does he feel, he said: “ I feel super and safe”! 💪🏻 #VaccinesWork #COVAX https://t.co/6IZoYHDnqT",2021-03-30,AstraZeneca,EU-est,EU,Bucarest,700km
18,1376815443382571017,https://twitter.com/UNICEFKosovo/status/1376815443382571017,UNICEFKosovo,"Vaccination started, frontline health workers getting the first shot of the Astra Zeneca vaccine. https://t.co/LN23k9x30g",2021-03-30,AstraZeneca,EU-est,EU,Bucarest,700km
19,1376814902162100226,https://twitter.com/foivosloxias/status/1376814902162100226,foivosloxias,"Canada on Monday suspended the use of the Oxford-AstraZeneca coronavirus vaccine for people under age 55 following concerns it might be linked to rare blood clots.
https://t.co/uecJ3XPDph",2021-03-30,AstraZeneca,EU-est,EU,Bucarest,700km
20,1376798294739935232,https://twitter.com/PabloDataDS/status/1376798294739935232,PabloDataDS,"""Canada suspends the use of the AstraZeneca vaccine for people under 55."" by BY CATHERINE PORTER via NYT https://t.co/a8RSE2A3G4",2021-03-30,AstraZeneca,EU-est,EU,Bucarest,700km
21,1376789559120367616,https://twitter.com/HyeTert/status/1376789559120367616,HyeTert,Large Shipment of AstraZeneca Vaccine Arrives in Armenia https://t.co/Z4RlnCkadL,2021-03-30,AstraZeneca,EU-est,EU,Bucarest,700km
22,1376779084341055488,https://twitter.com/ellada_fix/status/1376779084341055488,ellada_fix,"#AstraZeneca Till Sept 2020 Greece had 271 deaths and Sweden 5795, but since Sept 2020 till today, both countries have some number ( 7645 GR (1 yr lockdown)- 7607 SWE(NO lockdown).WHY?",2021-03-30,AstraZeneca,EU-est,EU,Bucarest,700km
23,1376768689463308289,https://twitter.com/SanduBanu/status/1376768689463308289,SanduBanu,"Coronavirus live news: WHO to present #China mission findings; Canada pauses AstraZeneca vaccine for under 55s 
#ȘTIRI #Rezist 
#RomaniiTrebuieSaStie
#România #Moldova 
#MilkTeaAlliance 
#dkpol #dkaid #MeToo
#CPAC2021 #HumanRights  #WIONGlobalSummit
https://t.co/tN5FjPf5CA",2021-03-30,AstraZeneca,EU-est,EU,Bucarest,700km
24,1376749024250888192,https://twitter.com/gusteru/status/1376749024250888192,gusteru,"Canada's NACI recommends halting AstraZeneca jab for people under 55
 https://t.co/oUiB2TOynt",2021-03-30,AstraZeneca,EU-est,EU,Bucarest,700km
25,1376547605963026432,https://twitter.com/UNICEFKosovo/status/1376547605963026432,UNICEFKosovo,"The Prime Minister of Kosovo, Mr. @albinkurti just got the first shot of the Astra Zeneca vaccine against COVID-19! #TogetherWeCan #VaccinesWork #COVAX https://t.co/jZzquxIYW3",2021-03-29,AstraZeneca,EU-est,EU,Bucarest,700km
