,id,permalink,username,text,date,parola_cercata,location,area,citta,raggio
0,1377045676798906368,https://twitter.com/GoneInAWhisper/status/1377045676798906368,GoneInAWhisper,Entire City in Shock as Another Italian Professor is DEAD Following the AstraZeneca COVID Injection https://t.co/zkKZjrzkFH,2021-03-30,AstraZeneca,GB-Nord,GB,Edimburg,200km
1,1377029945902440449,https://twitter.com/MissAfandi/status/1377029945902440449,MissAfandi,"Just wanted to say that there are warnings and precautions regarding #AstraZeneca
While there are non for #Pfizer
I think these W&amp;P should be taken into consideration! @10DowningStreet
🌿💉🌿💉🌿
#AstraZenecaVaccine
#10DowningStreet
#EMA
#PrimMinster
#Vaccine 
#Edinburgh
#Germany https://t.co/SiWRf7JPGt",2021-03-30,AstraZeneca,GB-Nord,GB,Edimburg,200km
2,1377027536027275267,https://twitter.com/drgmlennox/status/1377027536027275267,drgmlennox,"Britain could be in for a rough ride with the Oxford-AstraZeneca jab, but there’s no need to panic https://t.co/fHJ1fcZVyN",2021-03-30,AstraZeneca,GB-Nord,GB,Edimburg,200km
3,1377017178717831169,https://twitter.com/CarolHu94842599/status/1377017178717831169,CarolHu94842599,"First vaccine today. At 43 I am delighted but also a carer for my brother which is what matters. Not one issue. Zero. Zip. Zilch. Funny that, it’s how I thought it would be 🤣🤣🤣 #CovidVaccine #AstraZeneca",2021-03-30,AstraZeneca,GB-Nord,GB,Edimburg,200km
4,1376977697977548818,https://twitter.com/IreneSc10551404/status/1376977697977548818,IreneSc10551404,"Germany could suspend use of AstraZeneca vaccine for under 60s after nine deaths.
https://t.co/BB4Rw2IziW
@mmjblair @Lisa_McC_",2021-03-30,AstraZeneca,GB-Nord,GB,Edimburg,200km
5,1376957565062483968,https://twitter.com/d9827f77cf6b426/status/1376957565062483968,d9827f77cf6b426,So half the uk population has had the first dose of the vaccine???? Wonder if it is true. And by the way in germany there are a couple of councils that have stopped administering Astrazeneca vaccine again.,2021-03-30,AstraZeneca,GB-Nord,GB,Edimburg,200km
6,1376949531175174145,https://twitter.com/MhairiMcIntyre/status/1376949531175174145,MhairiMcIntyre,Had Astra Zeneca torpedoed into my arm this afternoon. Had a baby safely recovered from my womb in January. Still have my dad. A cracking year of service from the #NHS and the angels that work for them,2021-03-30,AstraZeneca,GB-Nord,GB,Edimburg,200km
7,1376940491229519874,https://twitter.com/Teagsy_/status/1376940491229519874,Teagsy_,The AstraZeneca vaccine fairly floors you eh? Feel like someone's playing keepie uppie with my head. Like a migraine x1000. 🤕,2021-03-30,AstraZeneca,GB-Nord,GB,Edimburg,200km
8,1376931424444551174,https://twitter.com/mhairiwild/status/1376931424444551174,mhairiwild,"That’s my first dose of vaccine done and dusted. Caird Hall Dundee volunteers and @NHSTayside doing a sterling job. Many thanks to the scientific community, and back room packers, haulage and everyone who made this possible. #AstraZeneca",2021-03-30,AstraZeneca,GB-Nord,GB,Edimburg,200km
9,1376930314648440833,https://twitter.com/Susannah4Europe/status/1376930314648440833,Susannah4Europe,"I had the #AstraZeneca vaccine today, having been 'unblinded' on the vaccine trial I was on, confirming that I'd previously been given a placebo. 

I was vaccinated by the army. Main difference was the uniforms and the fact that he kept calling me Ma'am!

#COVID19",2021-03-30,AstraZeneca,GB-Nord,GB,Edimburg,200km
10,1376928325323665410,https://twitter.com/DivocSuriv/status/1376928325323665410,DivocSuriv,"Studies found most of the patients in Europe who developed a rare blood clot after vaccination with #AstraZeneca were women under age 55, and the fatality rate among those who develop clots is as high as 40%. 
But in the UK we just plough on regardless 🤬
https://t.co/trodEPCJQq",2021-03-30,AstraZeneca,GB-Nord,GB,Edimburg,200km
11,1376916482609790985,https://twitter.com/MegMacD1/status/1376916482609790985,MegMacD1,V day yesterday  #Vaccines #AllGood #COVID19Vaccination #AstraZeneca,2021-03-30,AstraZeneca,GB-Nord,GB,Edimburg,200km
12,1376914459063689218,https://twitter.com/SavanNeilson/status/1376914459063689218,SavanNeilson,The conflict Brexit caused will cost human life! Politicising public health is a disgrace! U.K AstraZeneca must comply with it contact! And EU should/must not use the British public against Uk gov by blocking vaccines to the U.K. and to pressurising The vaccine company to comply,2021-03-30,AstraZeneca,GB-Nord,GB,Edimburg,200km
13,1376909881429594118,https://twitter.com/HesterMcQueen/status/1376909881429594118,HesterMcQueen,AstraZeneca vaccine fears: Germany bans Oxford jab for everyone under 60 https://t.co/nh2YN2fZlX,2021-03-30,AstraZeneca,GB-Nord,GB,Edimburg,200km
14,1376909614571196418,https://twitter.com/Albion_Rover/status/1376909614571196418,Albion_Rover,Immune response may explain rare clots after AstraZeneca vaccine https://t.co/Q5VqAN7iXh via @MailOnline,2021-03-30,AstraZeneca,GB-Nord,GB,Edimburg,200km
15,1376906409036636164,https://twitter.com/soccy37/status/1376906409036636164,soccy37,"Canada halts AstraZeneca vaccine for those under 55

https://t.co/ccVM3e68VT

Sent via @updayUK",2021-03-30,AstraZeneca,GB-Nord,GB,Edimburg,200km
