,id,permalink,username,text,date,parola_cercata,location,area,citta,raggio
0,1376999092891611144,https://twitter.com/LeeZhongmin/status/1376999092891611144,LeeZhongmin,Germany has stopped the use of Astra Zeneca vaccine on its population as more cases of blood clots &amp; deaths after the jabs. Now only people over 60 years old are allowed to use it on special occasions. The UK vaccine is now banned by many European nations for its adverse effect. https://t.co/Pcwo0XRcRj,2021-03-30,AstraZeneca,EU-Nord,EU,Helsinki,200km
1,1376995548746682368,https://twitter.com/GraviolaDOTfi/status/1376995548746682368,GraviolaDOTfi,"#UK: Since the covid-19 outbreak began early last year, John Bell, regius professor of medicine at #OxfordUniversity, has held high profile roles in the UK government’s epidemic response while also working with #AstraZeneca on the vaccine.
https://t.co/y3JbAjGOGN https://t.co/JORofrnUwt",2021-03-30,AstraZeneca,EU-Nord,EU,Helsinki,200km
2,1376987750767984645,https://twitter.com/SydesJokes/status/1376987750767984645,SydesJokes,Germany to restrict AstraZeneca use in under-60s over clots https://t.co/axnrTWewEO,2021-03-30,AstraZeneca,EU-Nord,EU,Helsinki,200km
3,1376922819574034438,https://twitter.com/Inari_kosonen/status/1376922819574034438,Inari_kosonen,"Four people who have taken the AstraZeneca vaccine in Norway have died from it. Norway has halted the distribution of it. Wanna bet the @fda will let AstraZeneca distributed in the US? 

https://t.co/ttAfctYfOM",2021-03-30,AstraZeneca,EU-Nord,EU,Helsinki,200km
4,1376828183027314690,https://twitter.com/foreignerfi/status/1376828183027314690,foreignerfi,"The #AstraZeneca doses offered via #COVAX - 1.4 million to 2.4 million doses intended for #Venezuela - were rejected by the country

Venezuela's president offers to swap oil for #Covid19 #vaccines

https://t.co/F8EmJ4drTx",2021-03-30,AstraZeneca,EU-Nord,EU,Helsinki,200km
5,1376782650095075331,https://twitter.com/GraviolaDOTfi/status/1376782650095075331,GraviolaDOTfi,"#Fimea Canada halts #AstraZeneca vaccine roll-out for people under 55, citing ‘substantial uncertainty’ amid blood clot concerns | Mar 30
- blood clotting in AZ recipients could be as high as one in 100k far above the one in 1000k previously estimated
https://t.co/3OakmQA00k",2021-03-30,AstraZeneca,EU-Nord,EU,Helsinki,200km
6,1374301893078495237,https://twitter.com/cadsherpa/status/1374301893078495237,cadsherpa,"Its not even noun and I got my 1st #AstraZeneca vaccin  and my #IOTA  investment went up with a staggering 20 pct in the last 24 hours.
Whoot whoot !!!",2021-03-23,AstraZeneca,EU-Nord,EU,Helsinki,200km
7,1371805252903706629,https://twitter.com/juhosalmi/status/1371805252903706629,juhosalmi,AstraZeneca COVID-19 vaccine is the new nuclear energy. #AstraZenaca #covid19 #nuclear,2021-03-16,AstraZeneca,EU-Nord,EU,Helsinki,200km
8,1371389108417880065,https://twitter.com/claudianpliego/status/1371389108417880065,claudianpliego,AstraZeneca says no evidence of clot risk as more vaccinations halted https://t.co/qtiKwF7vlq vía @foreignerfi,2021-03-15,AstraZeneca,EU-Nord,EU,Helsinki,200km
9,1371044140373454849,https://twitter.com/claudianpliego/status/1371044140373454849,claudianpliego,Norway reports more bleeding problems after Astrazeneca vaccination https://t.co/tGquXk8uFp vía @foreignerfi,2021-03-14,AstraZeneca,EU-Nord,EU,Helsinki,200km
10,1370250603973251072,https://twitter.com/MPykari/status/1370250603973251072,MPykari,"Eurooppa Marshall-avun varassa.

Brussels warns that AstraZeneca will miss already reduced targets  - https://t.co/ewRQrB6HLL via @FT",2021-03-12,AstraZeneca,EU-Nord,EU,Helsinki,200km
