,id,permalink,username,text,date,parola_cercata,location,area,citta,raggio
0,1377044019834945540,https://twitter.com/fifisyms/status/1377044019834945540,fifisyms,Really don't need this hours before my jab and with a blood disorder. I've received reassurance from various haemotologists so be it upon their head if anything goes wrong!! Canada and Germany halt AstraZeneca jab for under-60s amid blood clot concerns https://t.co/KcrH3yLgyC,2021-03-30,AstraZeneca,GB-SUD,GB,London,200km
1,1377040941224230913,https://twitter.com/Dominiquetd/status/1377040941224230913,Dominiquetd,Has anyone else experienced issues with their mental health after the first vaccine?  #AstraZeneca #Covid_19 #Vaccine,2021-03-30,AstraZeneca,GB-SUD,GB,London,200km
2,1377040576537890822,https://twitter.com/biedexmarkets/status/1377040576537890822,biedexmarkets,"Astrazeneca PLC (NYSE:AZN), (AZNCF) - Germany Stops AstraZeneca COVID-19 Vaccine Use In People Under 60: CNBC -

 -https://t.co/yYTj4XMR2r",2021-03-30,AstraZeneca,GB-SUD,GB,London,200km
3,1377038209486614529,https://twitter.com/GrenvilleClive/status/1377038209486614529,GrenvilleClive,US health officials accuse AstraZeneca of misrepresenting efficacy data | News | Lifesitenews https://t.co/TakMNq6gtu,2021-03-30,AstraZeneca,GB-SUD,GB,London,200km
4,1377037937070776326,https://twitter.com/RBiakpara/status/1377037937070776326,RBiakpara,"Na so.

“AstraZeneca vaccine scientists awarded £1.4M for gonorrhoea vaccine” by @Telegraph https://t.co/j4zdyXbc6C",2021-03-30,AstraZeneca,GB-SUD,GB,London,200km
5,1377037257803202562,https://twitter.com/GrenvilleClive/status/1377037257803202562,GrenvilleClive,Canada halts AstraZeneca jab for people under 55 over blood clot concerns | News | LifeSite https://t.co/UB5K9JUgJK,2021-03-30,AstraZeneca,GB-SUD,GB,London,200km
6,1377036588593651712,https://twitter.com/toadmeister/status/1377036588593651712,toadmeister,Germany is suspending its rollout of the AstraZeneca Covid vaccine for people aged below 60 because of a risk of rare blood clots. This decision follows that of Canada to limit the rollout of the jab for those under 55. https://t.co/A8KUXXVR29,2021-03-30,AstraZeneca,GB-SUD,GB,London,200km
7,1377034209274044423,https://twitter.com/ReutersUK/status/1377034209274044423,ReutersUK,"Germany decides AstraZeneca vaccine can be used for over 60s, document shows https://t.co/LFHkZQX5zz https://t.co/gVKlK6rt4M",2021-03-30,AstraZeneca,GB-SUD,GB,London,200km
8,1377033235293728784,https://twitter.com/ftopinion/status/1377033235293728784,ftopinion,Letter: AstraZeneca’s learning on the job is a cautionary tale https://t.co/u8zy4eQCPR,2021-03-30,AstraZeneca,GB-SUD,GB,London,200km
9,1377031679286599683,https://twitter.com/ham_28/status/1377031679286599683,ham_28,Berlin and Munich halt AstraZeneca jab for under-60s as Merkel prepares to act https://t.co/k0uiSeVBbp,2021-03-30,AstraZeneca,GB-SUD,GB,London,200km
10,1377030441891463176,https://twitter.com/Djofils/status/1377030441891463176,Djofils,So AstraZeneca vaccine was an issue for over 65 even before they were available for them. But now that they are available they find it is a risk for under 60’s. i am beginning to lose trust in these politicians kmt,2021-03-30,AstraZeneca,GB-SUD,GB,London,200km
11,1377028302456684547,https://twitter.com/BNN_Breaking/status/1377028302456684547,BNN_Breaking,#CVST #vaccines: Germany limits use of AstraZeneca COVID-19 shots over health concerns https://t.co/fU86NsmBEM,2021-03-30,AstraZeneca,GB-SUD,GB,London,200km
