,id,permalink,username,text,date,parola_cercata,location,area,citta,raggio
0,1377032228748865539,https://twitter.com/LOVESOULSHARE/status/1377032228748865539,LOVESOULSHARE,Will Australia need more than the Pfizer and AstraZeneca Covid-19 vaccines? https://t.co/kLM5NervUr,2021-03-30,AstraZeneca,EU-Ovest,EU,Madrid,300km
1,1376998521858048001,https://twitter.com/MarcosdelMazo/status/1376998521858048001,MarcosdelMazo,"First day of vaccination for the population between 60 and 65 years in the Wanda Metropolitan Stadium with #AstraZeneca vaccine against #coronavirus, in #Madrid, Spain.
https://t.co/VkPVBcrA82
📷 Marcos del Mazo https://t.co/a226iy0ehB",2021-03-30,AstraZeneca,EU-Ovest,EU,Madrid,300km
2,1376983443796541441,https://twitter.com/icascudo/status/1376983443796541441,icascudo,"Seeing what is going on with Astra-Zeneca vaccine, I consider the trolley problem a completely settled question https://t.co/7RD4RtgOQW",2021-03-30,AstraZeneca,EU-Ovest,EU,Madrid,300km
3,1376972018176888836,https://twitter.com/JuanGrvas/status/1376972018176888836,JuanGrvas,"Canada. National Advisory Committee on Immunization. @AstraZeneca #COVID19 #vaccine should not be used in adults under 55 years of age. Vaccine-Induced Prothrombotic Immune Thrombocytopenia.
Canadá. Preguntas y respuestas para profesionales.
https://t.co/k5oZfbDxCR",2021-03-30,AstraZeneca,EU-Ovest,EU,Madrid,300km
4,1376954815322931201,https://twitter.com/alphadesigner/status/1376954815322931201,alphadesigner,First Germany banned AstraZeneca for over 60s. Then they suspended it for everyone. Now they will ban it for under 60s. Is there anyone sane left in the land of Homöopathie? https://t.co/gJ1oTdQxJl,2021-03-30,AstraZeneca,EU-Ovest,EU,Madrid,300km
5,1376930706459353090,https://twitter.com/F_CEAFE/status/1376930706459353090,F_CEAFE,The state of Berlin has paused the use of the AstraZeneca COVID-19 vaccine for people under the age of 60 following concerns about rare blood clots. https://t.co/xcsARRuUoN,2021-03-30,AstraZeneca,EU-Ovest,EU,Madrid,300km
6,1376866893366169602,https://twitter.com/F_CEAFE/status/1376866893366169602,F_CEAFE,Canada has paused use of the AstraZeneca COVID-19 vaccine in people under the age of 55 following concerns about rare blood clots. https://t.co/xcsARRuUoN,2021-03-30,AstraZeneca,EU-Ovest,EU,Madrid,300km
7,1376795930985426945,https://twitter.com/iriesgo/status/1376795930985426945,iriesgo,Coronavirus: Canada suspends use of AstraZeneca shot for under-55s — as it happened https://t.co/k4nSOFD112,2021-03-30,AstraZeneca,EU-Ovest,EU,Madrid,300km
8,1376783313701076993,https://twitter.com/CanadaSpain1/status/1376783313701076993,CanadaSpain1,"Why Canada is suspending use of AstraZeneca vaccine in people under 55
https://t.co/WZxF7i5uNy https://t.co/rSAtqMQlaM",2021-03-30,AstraZeneca,EU-Ovest,EU,Madrid,300km
9,1375078527637262337,https://twitter.com/AitorTwist/status/1375078527637262337,AitorTwist,Por favor AstraZeneca no me mates mucho,2021-03-25,AstraZeneca,EU-Ovest,EU,Madrid,300km
10,1374689510206898186,https://twitter.com/fernandoUKinney/status/1374689510206898186,fernandoUKinney,Maybe there’s a justified preference in UK’s contract with @AstraZeneca as they funded with British public money this research: £65.5 million? Just wondering 🧐. Maybe you need to pay more into research and then secure your public money via contract. Don’t blame the UK https://t.co/8GToJbeoyg,2021-03-24,AstraZeneca,EU-Ovest,EU,Madrid,300km
11,1374452456902381573,https://twitter.com/miotei/status/1374452456902381573,miotei,‘I was sort of stunned’: Fauci and U.S. officials say AstraZeneca released ‘outdated information'... so this is about politics too @georgemagnus1? (Just teasing 😉) https://t.co/oHhEoVcF8A via @statnews,2021-03-23,AstraZeneca,EU-Ovest,EU,Madrid,300km
