,id,permalink,username,text,date,parola_cercata,location,area,citta,raggio
0,1377040941224230913,https://twitter.com/Dominiquetd/status/1377040941224230913,Dominiquetd,Has anyone else experienced issues with their mental health after the first vaccine?  #AstraZeneca #Covid_19 #Vaccine,2021-03-30,AstraZeneca,GB-Center,GB,Manchester,200km
1,1377040139025846275,https://twitter.com/ShanellePalmer_/status/1377040139025846275,ShanellePalmer_,"After 6 days of getting AstraZeneca jab my arm is nearly recovered and feel much better, what did they put in that thing 😂😂😂",2021-03-30,AstraZeneca,GB-Center,GB,Manchester,200km
2,1377024343058825219,https://twitter.com/Becki_Holmes_/status/1377024343058825219,Becki_Holmes_,"Data from Germany putting the risk of someone developing a blood clot after the AstraZeneca vaccine at just over 1 person out of 100,000 and everyone goes into meltdown? The risk for women who take hormonal birth control is 3-9 out of 10,000 every year but okay",2021-03-30,AstraZeneca,GB-Center,GB,Manchester,200km
3,1377024008613466119,https://twitter.com/mm04cjm/status/1377024008613466119,mm04cjm,"This is getting stupid now. The EU demand a vaccine that no one wants. COVID-19: Germany to suspend Oxford-AstraZeneca coronavirus vaccine for under-60s
https://t.co/oQrSQAhyLA https://t.co/I3aPY6lVVU",2021-03-30,AstraZeneca,GB-Center,GB,Manchester,200km
4,1377023736721838082,https://twitter.com/mroutled/status/1377023736721838082,mroutled,Why shld AstraZeneca bother when they’ve become a political football - European leaders &amp; authorities in particular being irresponsible towards their populations &amp; bullying the company - well because they will save many 000s of lives &amp; make no profit  https://t.co/j7d0HtjgF6,2021-03-30,AstraZeneca,GB-Center,GB,Manchester,200km
5,1377022949761376259,https://twitter.com/kevonhissoapbox/status/1377022949761376259,kevonhissoapbox,"I have had my first #AstraZeneca jab, but news that the German regulator has again paused it's use in the under 60's due to more blood clotting issues cannot be ignored by our regulators. What exactly are the reported stats in the U.K. since vaccination began? '#covid",2021-03-30,AstraZeneca,GB-Center,GB,Manchester,200km
6,1377019210778431495,https://twitter.com/downmattp/status/1377019210778431495,downmattp,Nicola Sturgeon was right first time. It is not called the Oxford AZ vaccine. Plain #AstraZeneca will suffice thank you....,2021-03-30,AstraZeneca,GB-Center,GB,Manchester,200km
7,1377017641974562818,https://twitter.com/BluffGlenn/status/1377017641974562818,BluffGlenn,#vaccine #AstraZeneca #doncasterisgreat really grateful to NHS volunteers at @TheKeepmoat for my vaccine today. #CovidVaccine,2021-03-30,AstraZeneca,GB-Center,GB,Manchester,200km
8,1377014411265773571,https://twitter.com/jonathanrog68/status/1377014411265773571,jonathanrog68,"It’s jaw dropping that both Germany and France are requesting the Sputnik vaccine from Russia, over the AstraZeneca jab. Wtf are European countries thinking? The Russian jab hasn’t even gone through the European drugs agency!? It’s utter madness and a clear loathing of the UK",2021-03-30,AstraZeneca,GB-Center,GB,Manchester,200km
9,1377008699848409089,https://twitter.com/ProfMakris/status/1377008699848409089,ProfMakris,The cerebral vein thrombosis with thrombocytopenia story post Astra Zeneca vaccine was on the main national TV news tonight with a report from Berlin on the BBC1 News at Ten. #COVID19 https://t.co/GUkMvNisNb,2021-03-30,AstraZeneca,GB-Center,GB,Manchester,200km
