,id,permalink,username,text,date,parola_cercata,location,area,citta,raggio
0,1376977748762243080,https://twitter.com/tataclo1968/status/1376977748762243080,tataclo1968,#AstraZeneca Revolution #cineVaxzevria,2021-03-30,AstraZeneca,EU-CENTRAL,EU,Roma,400km
1,1376973057290555398,https://twitter.com/CollarTurned_Up/status/1376973057290555398,CollarTurned_Up,era meglio the vaccine formerly known as astrazeneca https://t.co/gTLWGmx98S,2021-03-30,AstraZeneca,EU-CENTRAL,EU,Roma,400km
2,1376972187027001345,https://twitter.com/LAHT/status/1376972187027001345,LAHT,"#Germany Suspends #AstraZeneca Rollout Again - #COVID19  
https://t.co/i5VqF9cBig https://t.co/ILZvr0mpiE",2021-03-30,AstraZeneca,EU-CENTRAL,EU,Roma,400km
3,1376939128818896898,https://twitter.com/_arianna/status/1376939128818896898,_arianna,"We Need to Talk About the AstraZeneca Vaccine &gt; For the moment, reports of a very rare, dangerous blood disorder among recipients cannot be ignored | @hildabast

https://t.co/qYyH1pZ4pj https://t.co/xDd8PcLkwC",2021-03-30,AstraZeneca,EU-CENTRAL,EU,Roma,400km
4,1376905898115936264,https://twitter.com/gracieopulanza/status/1376905898115936264,gracieopulanza,"That makes sense. Kill the pensioners off! Over 65?

Germany could suspend use of AstraZeneca vaccine for under 60s after nine deaths https://t.co/F9DLjRLRGx",2021-03-30,AstraZeneca,EU-CENTRAL,EU,Roma,400km
5,1376893941195366405,https://twitter.com/Michela_Rm/status/1376893941195366405,Michela_Rm,"From what I can see those countries who can afford to suspend/limit #astrazeneca (i.e. France, Canada, Scandinavian countries, some German hospitals and more) are doing it, those who only or mainly rely on it claim it is safe for any age group and gender. Sounds odd.",2021-03-30,AstraZeneca,EU-CENTRAL,EU,Roma,400km
6,1376878899628441608,https://twitter.com/FlaShBloGLive/status/1376878899628441608,FlaShBloGLive,#WorldNews #APTopNews #Europe #Toronto #Immunizations Canada pauses AstraZeneca vaccine for under 55 - The Associated Press https://t.co/NU9FwTMM21,2021-03-30,AstraZeneca,EU-CENTRAL,EU,Roma,400km
7,1376868266770042881,https://twitter.com/2016Disclosure/status/1376868266770042881,2016Disclosure,👇😪 AstraZeneca and its side effects... #NewsBurstLive https://t.co/oCEYC1Ny2O,2021-03-30,AstraZeneca,EU-CENTRAL,EU,Roma,400km
8,1376841893141700609,https://twitter.com/WildArtWorks78/status/1376841893141700609,WildArtWorks78,"Are you ready for the vaccine?
#vaccinepfizer #AstraZeneca #vaccine #fullmetaljacket #hartmann #Filmmaking #lockdown2021 #COVID19 #war #smartworking #wildart #wildartworks #VaccinoAntiCovid https://t.co/DGKjBdesRs",2021-03-30,AstraZeneca,EU-CENTRAL,EU,Roma,400km
9,1376835353114341379,https://twitter.com/TheLocalItaly/status/1376835353114341379,TheLocalItaly,"Italian Prime Minister Mario Draghi got his first dose of AstraZeneca vaccine against Covid-19 on Tuesday, in a show of support for the jab. https://t.co/lWJ8zw8PYe",2021-03-30,AstraZeneca,EU-CENTRAL,EU,Roma,400km
10,1376818495309152257,https://twitter.com/inesanma/status/1376818495309152257,inesanma,"Italy's Prime Minister, Mario Draghi, got his first #AstraZeneca jab today, in a vaccination point set up in Rome's famous #Termini station.

No VIP treatment: he waited for his turn, like every other citizen (should do). https://t.co/gXd3WJjque",2021-03-30,AstraZeneca,EU-CENTRAL,EU,Roma,400km
11,1376817473270468609,https://twitter.com/joshjmac/status/1376817473270468609,joshjmac,"Italy's new prime minister goes to get his coronavirus vaccine (AstraZeneca) just like everyone else, when his age group is called. https://t.co/JoFKDEFMh0",2021-03-30,AstraZeneca,EU-CENTRAL,EU,Roma,400km
12,1376817118080077825,https://twitter.com/wantedinrome/status/1376817118080077825,wantedinrome,"#Italy's premier Mario #Draghi and his wife received the first dose of the #AstraZeneca vaccine at the Termini station #COVID19 vaccination hub in #Rome this morning, after waiting the turn for their age group. https://t.co/qOUKm5oY0Q https://t.co/hjjD3JzPCd",2021-03-30,AstraZeneca,EU-CENTRAL,EU,Roma,400km
13,1376812812786397193,https://twitter.com/ansa_english/status/1376812812786397193,ansa_english,"Italian Premier #Draghi has been vaccinated with the #AstraZeneca #COVID19 jab.
https://t.co/DXZULUmDLp https://t.co/g6RQ9DIKaA",2021-03-30,AstraZeneca,EU-CENTRAL,EU,Roma,400km
