,id,permalink,username,text,date,parola_cercata,location,area,citta,raggio
0,1376891960141754373,https://twitter.com/ramprecor/status/1376891960141754373,ramprecor,"“Berlin’s neighbouring state of Brandenburg also paused giving the AstraZeneca vaccine to anyone under 60, the local public broadcaster reported. 
Munich, according to the German newspaper Bild, has also halted the jab for anyone over 60” https://t.co/d6ZNIzNDTc",2021-03-30,AstraZeneca,EU-Nord,EU,Stoccolma,200km
1,1376884317155176449,https://twitter.com/NordnetAxel/status/1376884317155176449,NordnetAxel,GERMAN VACCINATION COMMISSION RECOMMENDS ASTRAZENECA CORONAVIRUS VACCCINE ONLY FOR MEN AND WOMEN OVER 60 YEARS OLD IN GERMANY - FOCUS ONLINE,2021-03-30,AstraZeneca,EU-Nord,EU,Stoccolma,200km
2,1376881995381411842,https://twitter.com/ramprecor/status/1376881995381411842,ramprecor,“Coronavirus live news: Canada pauses AstraZeneca vaccine for under 55s ” https://t.co/d6ZNIzNDTc,2021-03-30,AstraZeneca,EU-Nord,EU,Stoccolma,200km
3,1376880690101432320,https://twitter.com/ramprecor/status/1376880690101432320,ramprecor,"“Germany’s vaccine regulator has said it has recorded 31 cases of a rare blood clot in the brain, nine of which resulted in deaths, after people received a Covid vaccine from AstraZeneca.” https://t.co/d6ZNIzNDTc",2021-03-30,AstraZeneca,EU-Nord,EU,Stoccolma,200km
4,1376880259275063299,https://twitter.com/ramprecor/status/1376880259275063299,ramprecor,“Berlin’s state hospital groups Charite and Vivantes on Tuesday stopped giving female staff under the age of 55 shots of AstraZeneca’s Covid-19 vaccine following further reports of a rare brain blood disorder” https://t.co/d6ZNIzNDTc,2021-03-30,AstraZeneca,EU-Nord,EU,Stoccolma,200km
5,1376878374765887488,https://twitter.com/blacklyt_/status/1376878374765887488,blacklyt_,"AstraZeneca is the only NON- MRNA vac*ine, no wonder they are coming up with fake stories to ban it.",2021-03-30,AstraZeneca,EU-Nord,EU,Stoccolma,200km
6,1376869218705104897,https://twitter.com/NordnetAxel/status/1376869218705104897,NordnetAxel,German state of Berlin again suspends use of AstraZeneca coronavirus vaccine for people under 60 due to blood clot cases - Associated Press,2021-03-30,AstraZeneca,EU-Nord,EU,Stoccolma,200km
7,1376849349540450311,https://twitter.com/NordnetAxel/status/1376849349540450311,NordnetAxel,GERMANY'S PAUL EHRLICH INSTITUTE HAS RECORDED 31 SINUS VEIN THROMBOSIS CASES AFTER ASTRAZENECA COVID SHOT - SPIEGEL,2021-03-30,AstraZeneca,EU-Nord,EU,Stoccolma,200km
8,1376823119910998016,https://twitter.com/ramprecor/status/1376823119910998016,ramprecor,AstraZeneca chief stuck Down Under in race back to UK https://t.co/U4RZG5RbX9 via @ThisIsMoney,2021-03-30,AstraZeneca,EU-Nord,EU,Stoccolma,200km
9,1376797328233930754,https://twitter.com/ramprecor/status/1376797328233930754,ramprecor,“Canada on Monday suspended the use of the Oxford/AstraZeneca coronavirus vaccine for people under 55 following concerns it might be linked to rare blood clots” https://t.co/ALR6YGbwmk,2021-03-30,AstraZeneca,EU-Nord,EU,Stoccolma,200km
10,1374642224458309635,https://twitter.com/carlbildt/status/1374642224458309635,carlbildt,"The Oxford/AstraZeneca vaccine is now produced in facilities in Europe, United States, India, and South Korea to meet needs across the world, and in particular also in Africa. But supply chains of both ingredients and products must be open for this to be possible. @ACTAccelerator",2021-03-24,AstraZeneca,EU-Nord,EU,Stoccolma,200km
11,1370572148931170308,https://twitter.com/OlersVictoria/status/1370572148931170308,OlersVictoria,Shame on you mr President @POTUS There is a life after the pandemic as well and if you not let EUs ordered vaccine out of the US I know at least that I wont forget and I will not use american products and for sure not visit again. #AstraZeneca #vaccine #export,2021-03-13,AstraZeneca,EU-Nord,EU,Stoccolma,200km
12,1370423657487609860,https://twitter.com/mehmetcrm/status/1370423657487609860,mehmetcrm,"Choise your vaccin, #Pfizer #AstraZeneca #Sinovac
All is mine // #BillGatesBioTerrorist 😈 https://t.co/ZtZbCrUdzZ",2021-03-12,AstraZeneca,EU-Nord,EU,Stoccolma,200km
13,1367730972473651200,https://twitter.com/ndeleonmarcial1/status/1367730972473651200,ndeleonmarcial1,Italien stoppar export av Astra Zeneca-vaccin https://t.co/YKFEnepiph via @SvD,2021-03-05,AstraZeneca,EU-Nord,EU,Stoccolma,200km
