,id,permalink,username,text,date,parola_cercata,location,area,citta,raggio
0,1377044486128304130,https://twitter.com/jamesrosewell01/status/1377044486128304130,jamesrosewell01,Guess that's the end of EU centralised procurement then?  https://t.co/LViWXJMJhW,2021-03-30,EU,GB-Nord,GB,Edimburg,200km
1,1377038306349883395,https://twitter.com/__ambell/status/1377038306349883395,__ambell,"Looks like we have IfG report is on its way, good news. The talking shop at CCC had nothing serious to say about EU membership and trade-offs.  
https://t.co/Kd7BJvrLMB",2021-03-30,EU,GB-Nord,GB,Edimburg,200km
2,1377033456455188488,https://twitter.com/ChrisDarroch2/status/1377033456455188488,ChrisDarroch2,"Our kids might have houses to live in...Though I wouldn't be sure that the SNP could control the rents

But our kids won't be free to use the vast opportunities of the EU

They may get a degree on the cheap but won't have much of anywhere to find a good career

The SNP are a bust",2021-03-30,EU,GB-Nord,GB,Edimburg,200km
3,1377030755700867075,https://twitter.com/ChrisDarroch2/status/1377030755700867075,ChrisDarroch2,"62% of Scots said they wanted to remain in the EU.

Did Nicola respect that and call the referendum her party promised in their manifesto?

She is the worst kind of failure in leadership.

Promising things about the most important matters and going back on those promises.",2021-03-30,EU,GB-Nord,GB,Edimburg,200km
4,1377028829319983113,https://twitter.com/ChrisDarroch2/status/1377028829319983113,ChrisDarroch2,"The choice between leaving the EU or leaving the union was an opportunity missed that Nicola Sturgeon should be completely condemned for.

Quite apart from her anti democratic and criminal behaviour regarding Alex Salmond and forcing vastly unpopular policies on Scotland.",2021-03-30,EU,GB-Nord,GB,Edimburg,200km
5,1377027395518074885,https://twitter.com/ChrisDarroch2/status/1377027395518074885,ChrisDarroch2,"Not even attempting to get independence before we were dragged out of the EU is Nicola Sturgeon's biggest irresponsibility.

It's politically criminal that she did nothing.

The SNP even promised that they would in their manifesto.",2021-03-30,EU,GB-Nord,GB,Edimburg,200km
6,1377018109735878658,https://twitter.com/ChrisDarroch2/status/1377018109735878658,ChrisDarroch2,"The SNP promised that a change in material circumstances like being forced out of the EU would bring about a referendum.

Where is it @HumzaYousaf  ? https://t.co/i4e7fDURPS",2021-03-30,EU,GB-Nord,GB,Edimburg,200km
7,1377016816053129220,https://twitter.com/ChrisDarroch2/status/1377016816053129220,ChrisDarroch2,"So impressive that after years of promises to protect Scotland from Tory imposition

We are out of the EU, having our powers stripped, being forced to fly a flag we hate, have our budget constrained and are told that our laws are trumped by English courts.

@CailynMcMahon https://t.co/NFdiX5tDkY",2021-03-30,EU,GB-Nord,GB,Edimburg,200km
8,1376985341400379393,https://twitter.com/EscociaLibre/status/1376985341400379393,EscociaLibre,They also paved the way for EU ref. https://t.co/6NuXCYtJ3X,2021-03-30,EU,GB-Nord,GB,Edimburg,200km
9,1376979262914363394,https://twitter.com/kmcq1741/status/1376979262914363394,kmcq1741,"1,661,191 VOTES to Remain in EU To remain in UK 2,001,926 VOTES why don’t the SNP listen to the majority",2021-03-30,EU,GB-Nord,GB,Edimburg,200km
10,1376978583424540679,https://twitter.com/rajnishsinghuk/status/1376978583424540679,rajnishsinghuk,SNP was against joining EU in 1975 fearing it would make independence case weak. Now using the same reason to demand #indyref2 . So #Brexit is just an excuse. #BBCLeadersDebate,2021-03-30,EU,GB-Nord,GB,Edimburg,200km
11,1376977197739696129,https://twitter.com/ACCobra9/status/1376977197739696129,ACCobra9,Scotland’s election 2021: The basics https://t.co/T8KUe7ibbW via @BBCNews. Ask Sturgeon where we would be on vaccinations if she had managed to keep us in the EU .. considering we are the envy of Europe with our vaccination rates because of the U.K. gov.,2021-03-30,EU,GB-Nord,GB,Edimburg,200km
12,1376974599833972741,https://twitter.com/Trixtope/status/1376974599833972741,Trixtope,What a lot of tish joining the eu within 5 years  snp have lost the utter plot,2021-03-30,EU,GB-Nord,GB,Edimburg,200km
13,1376972007334678533,https://twitter.com/blackfordsafer1/status/1376972007334678533,blackfordsafer1,Paper for review here outlining actual cold hard figures and calculations of health benefits of introducing cycle infrastructure across 106 EU cities. The societal benefits are incredible. https://t.co/jgw6UrUN6n,2021-03-30,EU,GB-Nord,GB,Edimburg,200km
14,1376957707664691207,https://twitter.com/ashleyannotate/status/1376957707664691207,ashleyannotate,"1/3 🏴󠁧󠁢󠁳󠁣󠁴󠁿 🇵🇱 🇪🇺 “Since the whole Brexit and settled status shambles from the UK Government, I have become even more conscious of my Polish roots and the urgent need to facilitate deeper political, cultural, economic and community links between Scotland and the EU, including Poland, https://t.co/4ULPzQCScj https://t.co/vnWZ0c9GDh",2021-03-30,EU,GB-Nord,GB,Edimburg,200km
15,1376949893110071300,https://twitter.com/EuPhilosophySoc/status/1376949893110071300,EuPhilosophySoc,"Join us for our last lecture of the semester by Edinburgh's own Dr. Mazviita Chirimuuta. 

More details: https://t.co/ck5RzAqePq https://t.co/heKu1xYC0P",2021-03-30,EU,GB-Nord,GB,Edimburg,200km
16,1376944401650479107,https://twitter.com/paulobrienqc/status/1376944401650479107,paulobrienqc,"Welcome to the future: the Court of Appeal taking 33 paragraphs just to explain the status of a routine EU regulation after Brexit.

https://t.co/FV7rWq6o0W",2021-03-30,EU,GB-Nord,GB,Edimburg,200km
17,1376931716997210120,https://twitter.com/YesforEU/status/1376931716997210120,YesforEU,"Boris Johnson's trade dealing is killing off thousands of jobs in small and medium sized businesses due to barriers of red tape. So why did @UKLabour vote for it?
#BorisTheLiar https://t.co/CALeFvLBaU",2021-03-30,EU,GB-Nord,GB,Edimburg,200km
18,1376926496187691012,https://twitter.com/YesforEU/status/1376926496187691012,YesforEU,"EU membership was much more than preferential trading arrangements. It was also a means by which democratic governments could confront the power of multinational corporations, acting in the interests of their citizens and in the pursuit of economic justice
https://t.co/0TKHqm5Z2N",2021-03-30,EU,GB-Nord,GB,Edimburg,200km
19,1376910109683646465,https://twitter.com/HesterMcQueen/status/1376910109683646465,HesterMcQueen,Brexit snub: Ten EU states refuse to extradite their criminals to UK - letter exposes shun https://t.co/9uXwqQjOEk,2021-03-30,EU,GB-Nord,GB,Edimburg,200km
20,1376909583835357185,https://twitter.com/HesterMcQueen/status/1376909583835357185,HesterMcQueen,Ursula von der Leyen snub: EU chief refuses to sign name for global response to pandemics https://t.co/EfP1RdrGD6,2021-03-30,EU,GB-Nord,GB,Edimburg,200km
21,1376838530991853570,https://twitter.com/baigriec/status/1376838530991853570,baigriec,Is the senior EU official Charlie Nicholas? https://t.co/QuTcumQdPz,2021-03-30,EU,GB-Nord,GB,Edimburg,200km
22,1376814376217407490,https://twitter.com/NatRecordsScot/status/1376814376217407490,NatRecordsScot,"🗳️ 157,400 electors were from the EU &amp; other qualifying foreign nationals resident in Scotland, an increase of 15k over the last year. 73,300 electors were aged 16–17, 500 fewer than a year ago. 15,700 fewer voters registered to vote by post. https://t.co/4j3in428YW #NRSStats https://t.co/Cxm00QvvEj",2021-03-30,EU,GB-Nord,GB,Edimburg,200km
23,1376811676989857792,https://twitter.com/fionahtweet/status/1376811676989857792,fionahtweet,Where is Gove?  He should be held to account for his lie that Brits wouldn’t have to leave the EU. Loads being chucked out now. #ToryBrexitCatastrophe,2021-03-30,EU,GB-Nord,GB,Edimburg,200km
24,1376800914686812160,https://twitter.com/Jnrkingposse/status/1376800914686812160,Jnrkingposse,"Day 89

The negative impact of #BrexitShambles

Many small UK exporters giving up on EU due to Brexit

Do not vote Tory

#SmallBiz #Trade #Jobs #DontVoteTory 

⬇️⬇️⬇️ https://t.co/pc4QUdsQ2D

https://t.co/WqqvXzvZQ9",2021-03-30,EU,GB-Nord,GB,Edimburg,200km
25,1376781307418656769,https://twitter.com/pauliewoll/status/1376781307418656769,pauliewoll,"England, 2016: The referendum is ours and ours alone. Butt out, EU!
England, 2021: Hang on Braveheart, don't we get a say too? https://t.co/e7dFO5J5l8",2021-03-30,EU,GB-Nord,GB,Edimburg,200km
26,1376625902537297928,https://twitter.com/Scotkraut/status/1376625902537297928,Scotkraut,"As the owner of one of those SME businesses, importing and exporting fish &amp; seafood products from and to EU countries, I can confirm this ⬇️ https://t.co/b1ceygQHFu",2021-03-29,EU,GB-Nord,GB,Edimburg,200km
27,1376608352768294916,https://twitter.com/Jonnydeb/status/1376608352768294916,Jonnydeb,What condescending language by the EU. https://t.co/Hx19IUuFfy,2021-03-29,EU,GB-Nord,GB,Edimburg,200km
28,1376556527994220545,https://twitter.com/HesterMcQueen/status/1376556527994220545,HesterMcQueen,Take note EU! Serbia rolls out vaccine stockpile to neighbours after securing direct deals https://t.co/5UYQ0QkYpB,2021-03-29,EU,GB-Nord,GB,Edimburg,200km
29,1376463907666157575,https://twitter.com/Carol10306228/status/1376463907666157575,Carol10306228,It’s always about beating the EU. https://t.co/RjSrRASgJi,2021-03-29,EU,GB-Nord,GB,Edimburg,200km
30,1376337504165621762,https://twitter.com/saduncan1998/status/1376337504165621762,saduncan1998,"How has your party’s inaction over the consequences of Brexit affected our country’s children? 

Whilst you’re answering that, what’s your policy on proscription charges, school meals, tuition fees, ERASMUS, future relations with the EU, and plans to meet renewables targets? https://t.co/ryPPObuTzg",2021-03-29,EU,GB-Nord,GB,Edimburg,200km
