,id,permalink,username,text,date,parola_cercata,location,area,citta,raggio
0,1377005863064440835,https://twitter.com/DF_Taimou/status/1377005863064440835,DF_Taimou,"2-0 Day for us at VCT ! Good games everyone see you tomorrow @valesports_eu !

#THISISOURWORLD",2021-03-30,EU,EU-Nord,EU,Helsinki,200km
1,1376968512019824650,https://twitter.com/TeijoLeppamaki/status/1376968512019824650,TeijoLeppamaki,"Exclusive: EU set to sanction more Iranians for rights abuses, first since 2013, diplomats say https://t.co/PRVDYsWlt3",2021-03-30,EU,EU-Nord,EU,Helsinki,200km
2,1376956000280965130,https://twitter.com/kaburmeister/status/1376956000280965130,kaburmeister,EU Finreg work vs US Finreg work... US catching up rapidly though https://t.co/wjeSpKXzLi,2021-03-30,EU,EU-Nord,EU,Helsinki,200km
3,1376953668189192194,https://twitter.com/nrosenbe/status/1376953668189192194,nrosenbe,"The EU urgently needs its own chip manufacturing!

https://t.co/j5a0prmwBc",2021-03-30,EU,EU-Nord,EU,Helsinki,200km
4,1376918744883208203,https://twitter.com/PekkaTMakinen/status/1376918744883208203,PekkaTMakinen,"Italy imposes quarantine for all travellers arriving from EU 
https://t.co/XztjKrJth4",2021-03-30,EU,EU-Nord,EU,Helsinki,200km
5,1376893830054678530,https://twitter.com/TVuola/status/1376893830054678530,TVuola,"""...process will become a pathway back to membership, which is why so many Brexiters are so Europhobic despite Britain having already left. They know it is only a matter of time.""   #Brexit #rejoin #brejoin2030 #EU https://t.co/tfzyeXaTtq",2021-03-30,EU,EU-Nord,EU,Helsinki,200km
6,1376851588925550592,https://twitter.com/Anninajuliette/status/1376851588925550592,Anninajuliette,"Minister @TimoHarakka : ""Finland welcomes the @EU_Commission Strategy on Sustainable &amp; Smart Mobility &amp; its targets concerning railway transport -- 🇫🇮 is finalising 2 important strategies: National Transport System plan &amp; Roadmap for carbon-free transport"" #EU2021PT https://t.co/JOchlvviKa",2021-03-30,EU,EU-Nord,EU,Helsinki,200km
7,1376838424481652736,https://twitter.com/JarkkoVesa/status/1376838424481652736,JarkkoVesa,"The clock speed and ability to execute of China is impressive - and a bit scary, too. How are we going to match ""the Chinese speed"" in the EU where it takes a decade just to regulate an emerging technology. https://t.co/XAhPqxlGzI",2021-03-30,EU,EU-Nord,EU,Helsinki,200km
8,1376829073805217794,https://twitter.com/EU_ECHA/status/1376829073805217794,EU_ECHA,"We'll soon send out substance evaluation draft decisions for registrants of seven substances to request more information to clarify concerns. Altogether, Member States evaluated 14 substances in 2020. 

See the outcome of the work: https://t.co/2FfJbQrp1q
#SaferChemicals https://t.co/8zUW24Sx6A",2021-03-30,EU,EU-Nord,EU,Helsinki,200km
9,1376818722048991236,https://twitter.com/MarcoSiddi/status/1376818722048991236,MarcoSiddi,"The recording of our event on differentiation in EU foreign policy: a very interesting discussion with @FedericaMog, @NicolePirozzi, @JuhaJokela1, @SenemAydnDzgit, @solerlecha and Luigi Scazzieri
   
https://t.co/AANPmxhLGo

#EU #ForeignPolicy #CFSP #CSDP",2021-03-30,EU,EU-Nord,EU,Helsinki,200km
10,1376764670636351490,https://twitter.com/nuisance_eu/status/1376764670636351490,nuisance_eu,"live with @stratus_b  n @EPICBONETHUG
 we playing @HuntShowdown 

https://t.co/dtheCHHWeg",2021-03-30,EU,EU-Nord,EU,Helsinki,200km
11,1376751415960436736,https://twitter.com/NickTriani/status/1376751415960436736,NickTriani,"What is the point of Keir Starmer? | Moya Lothian-McLean ""He has wholeheartedly abandoned his pledge of party unity, triggering a “civil war”... Gone too is his commitment to a strong relationship with the EU"" https://t.co/CA3w0omCKv",2021-03-30,EU,EU-Nord,EU,Helsinki,200km
12,1376740588561764352,https://twitter.com/Kostian_V/status/1376740588561764352,Kostian_V,"""#China’s new bogeyman: #Europe"" - #EU  https://t.co/4nuYVsneCL",2021-03-30,EU,EU-Nord,EU,Helsinki,200km
13,1376151532614381574,https://twitter.com/petruspennanen/status/1376151532614381574,petruspennanen,"Thinking about the future of Earth. There's a strategic need to integrate the birthplace of human race and wonder continent of genetic variation Africa with the democracy and rule of law in EU and US.

Now China is buying exploitation rights from dictators. Power to the People!",2021-03-28,EU,EU-Nord,EU,Helsinki,200km
14,1375458141257805827,https://twitter.com/AphroditeFi/status/1375458141257805827,AphroditeFi,"THE original doxy wand will blow your mind with deep massaging sensation 🤩✨ It goes from 3000 RPMs to 9000 RPMs. When we say it'll rock your world this time we literally mean it
✨ Sold on Loveberry
✨ Shopping in EU only
✨ Doxy wand massager
#massage_bodytobody #massage #hi https://t.co/bNPelvL3rS",2021-03-26,EU,EU-Nord,EU,Helsinki,200km
