,id,permalink,username,text,date,parola_cercata,location,area,citta,raggio
0,1377012394610806785,https://twitter.com/catamedeiros17/status/1377012394610806785,catamedeiros17,smash https://t.co/Omk96uzGU5,2021-03-30,EU,EU-Ovest,EU,Lisbona,100km
1,1376978888270696451,https://twitter.com/LiveToReburn/status/1376978888270696451,LiveToReburn,Go click bait your thirsty mother https://t.co/Cb6HzU0isf,2021-03-30,EU,EU-Ovest,EU,Lisbona,100km
2,1376959142594818052,https://twitter.com/LeonorGundersen/status/1376959142594818052,LeonorGundersen,"GUYSSSS I DROVE BY MYSELF FOR THE FIRST TIMEEEEE ❤️❤️❤️❤️

Only got honked at once, and no one was put in danger so it wasn’t awful.

Still call it a win ignorando que eu tirei a carta em outubro 😬🥰😬",2021-03-30,EU,EU-Ovest,EU,Lisbona,100km
3,1376958390648369157,https://twitter.com/BetaMilionaria/status/1376958390648369157,BetaMilionaria,Eu shippo 😍 #JoVa https://t.co/DT4WTEUUbZ,2021-03-30,EU,EU-Ovest,EU,Lisbona,100km
4,1376944206204313601,https://twitter.com/littlejanela/status/1376944206204313601,littlejanela,eu a rir cause I got both in one https://t.co/lxHCSL0Y59,2021-03-30,EU,EU-Ovest,EU,Lisbona,100km
5,1376944026163818499,https://twitter.com/financeandKM/status/1376944026163818499,financeandKM,"Even as the EU regulator says the benefits outweigh the risks, Scandinavian countries remain wary of AstraZeneca's vaccine.  https://t.co/TZevO63OpH",2021-03-30,EU,EU-Ovest,EU,Lisbona,100km
6,1376943722651381761,https://twitter.com/financeandKM/status/1376943722651381761,financeandKM,The German Constitutional Court has blocked the EU's recovery fund. Now what?  https://t.co/vPf71BNoWH,2021-03-30,EU,EU-Ovest,EU,Lisbona,100km
7,1376940782775640066,https://twitter.com/COLifeScience/status/1376940782775640066,COLifeScience,"The EU Social Media Campaign “A different kind of infrastructure” is showcasing #TRANSVAC2, a collaborative infrastructure designed to accelerate #vaccine development that counts with @ibetportugal participation 
 
https://t.co/gg0JpssA9F

@EuropeVaccine #Researchinfrastructures https://t.co/LAvMeHzS2u",2021-03-30,EU,EU-Ovest,EU,Lisbona,100km
8,1376933931644243975,https://twitter.com/ibetportugal/status/1376933931644243975,ibetportugal,"EU Social Media Campaign “A different kind of infrastructure” is showcasing #TRANSVAC2, a collaborative infrastructure designed to accelerate #vaccine development

 @EuropeVaccine with iBET participation https://t.co/L5FXyo0ESK",2021-03-30,EU,EU-Ovest,EU,Lisbona,100km
9,1376920337611436036,https://twitter.com/leobutnotleo/status/1376920337611436036,leobutnotleo,"A @zulefuckedme mat*-me, mas eu shippo https://t.co/7zPNbnCZsZ",2021-03-30,EU,EU-Ovest,EU,Lisbona,100km
10,1376911719579197449,https://twitter.com/cxsxmxrx/status/1376911719579197449,cxsxmxrx,"Baby eu tou fine, tou a dar smash",2021-03-30,EU,EU-Ovest,EU,Lisbona,100km
11,1376908797751463937,https://twitter.com/anadelicado3/status/1376908797751463937,anadelicado3,Now it was Helena Vicente's turn to present the PERSIST_EU @EUErasmusPlus results at the Portuguese Sociology Association Congress. Well done Helena! https://t.co/KIXc60P1AG,2021-03-30,EU,EU-Ovest,EU,Lisbona,100km
12,1376892621705072641,https://twitter.com/_MikeStinson/status/1376892621705072641,_MikeStinson,Dred 😂😂😂😂😂😂😂 https://t.co/fLRyRdXboS,2021-03-30,EU,EU-Ovest,EU,Lisbona,100km
13,1376882560186392580,https://twitter.com/Elopescosta/status/1376882560186392580,Elopescosta,"#EU Strategy on the rights of the child
EU action on the rights of the child
How and why the European Commission carries out policies and provides funding to protect the rights of the child.
https://t.co/O6fGW3Ie9B",2021-03-30,EU,EU-Ovest,EU,Lisbona,100km
14,1376866817810006017,https://twitter.com/atlaslisbon/status/1376866817810006017,atlaslisbon,"Portugal is slightly ahead of the EU average vaccination rate, but far behind countries with the highest vaccination rates. Plans to speed things up in April in sight | Eco Sapo (PT) https://t.co/8byKPHR4w1",2021-03-30,EU,EU-Ovest,EU,Lisbona,100km
15,1376861413994598413,https://twitter.com/ThirdEyeMedia_/status/1376861413994598413,ThirdEyeMedia_,"Speediest EUnicorn @gorillasapp on-demand delivery #startup raises €244M, earning the #unicorn title faster than any other European company to date. Detailed piece by @sensorpunk via @tech_eu #foodtech https://t.co/KaMibLb8fi",2021-03-30,EU,EU-Ovest,EU,Lisbona,100km
16,1376849656244736002,https://twitter.com/mgracacarvalho/status/1376849656244736002,mgracacarvalho,EU SMEs in bid for greater interoperability in Digital Markets Act https://t.co/dMn7BBBdqP,2021-03-30,EU,EU-Ovest,EU,Lisbona,100km
17,1376832356527529984,https://twitter.com/CondeIdalina/status/1376832356527529984,CondeIdalina,"EU Horizon Europe / Great step!
Open Research Europe: new publishing platform. Rapid &amp; Transparent Publishing. Fast publication and open peer review for research stemming from Horizon 2020 funding across all subject areas. https://t.co/wNAJCXqhDd",2021-03-30,EU,EU-Ovest,EU,Lisbona,100km
18,1376817715416068099,https://twitter.com/PNSeabra/status/1376817715416068099,PNSeabra,EU’s moral dilemma in the Sahel https://t.co/r6ohkAnykY,2021-03-30,EU,EU-Ovest,EU,Lisbona,100km
19,1376779593160478721,https://twitter.com/jjcjmc/status/1376779593160478721,jjcjmc,"EU children in UK care system could become 'undocumented' adults, charity warns https://t.co/NaqsrkUxRo",2021-03-30,EU,EU-Ovest,EU,Lisbona,100km
20,1375798223172947971,https://twitter.com/imgabidias/status/1375798223172947971,imgabidias,como eu sempre digo: sebastian can't catch a fucking break https://t.co/58drCqVXTM,2021-03-27,EU,EU-Ovest,EU,Lisbona,100km
21,1375170489593819139,https://twitter.com/Seba_Pecas/status/1375170489593819139,Seba_Pecas,"Well eu gozo, and guess what? Sei cozinhar https://t.co/vFsjVv1xDP",2021-03-25,EU,EU-Ovest,EU,Lisbona,100km
22,1375164299249868801,https://twitter.com/amalmeidaseabra/status/1375164299249868801,amalmeidaseabra,Dear @vonderleyen It's easy to present yourself as a successful winner. But I would prefer to hear you on the dramatic failure of your vaccination decisions for the EU. https://t.co/xurAmzTJAq,2021-03-25,EU,EU-Ovest,EU,Lisbona,100km
23,1375084763397111813,https://twitter.com/LeonorGundersen/status/1375084763397111813,LeonorGundersen,Eu a olhar para pretty vestidos bellow the knee that I cant wear because im short queen with short legs https://t.co/64Yzy6R75O,2021-03-25,EU,EU-Ovest,EU,Lisbona,100km
