,id,permalink,username,text,date,parola_cercata,location,area,citta,raggio
0,1377047459206209544,https://twitter.com/BrexitHome/status/1377047459206209544,BrexitHome,Independent Scots would face 10-year wait for EU https://t.co/0vW2nWx4u0,2021-03-30,EU,GB-SUD,GB,London,200km
1,1377040872651550721,https://twitter.com/BrexitHome/status/1377040872651550721,BrexitHome,The SNP’s plans for rejoining the EU don’t add up – Oliver Kamm https://t.co/HtTmUP514s,2021-03-30,EU,GB-SUD,GB,London,200km
2,1377040207388815360,https://twitter.com/AkashPaun/status/1377040207388815360,AkashPaun,"New @instituteforgov report on Scottish independence, EU membership and the Anglo-Scottish Border published today: https://t.co/ROe2oewj4o 

(with co-authors @Jess_Sargeant @jameskkane @ThimontJack @KellyShuttlew13)",2021-03-30,EU,GB-SUD,GB,London,200km
3,1377037483641294851,https://twitter.com/c_plumpton/status/1377037483641294851,c_plumpton,The UK government should apply via Article 49 to rejoin the EU - Petitions https://t.co/QsAvjAh1on,2021-03-30,EU,GB-SUD,GB,London,200km
4,1377037446320418819,https://twitter.com/c_plumpton/status/1377037446320418819,c_plumpton,Petition: The UK government should apply via Article 49 to rejoin the EU https://t.co/QsAvjAh1on,2021-03-30,EU,GB-SUD,GB,London,200km
5,1377037382487306243,https://twitter.com/c_plumpton/status/1377037382487306243,c_plumpton,Seek to agree freedom of movement in the UK and EU for British and EU citizens - Petitions https://t.co/fsuhtq7n4O,2021-03-30,EU,GB-SUD,GB,London,200km
6,1377037337515982851,https://twitter.com/c_plumpton/status/1377037337515982851,c_plumpton,Petition: Seek to agree freedom of movement in the UK and EU for British and EU citizens https://t.co/fsuhtq7n4O,2021-03-30,EU,GB-SUD,GB,London,200km
7,1377036893653774339,https://twitter.com/c_plumpton/status/1377036893653774339,c_plumpton,Referendum on re-joining the EU - Petitions https://t.co/5zJSBzYXbQ,2021-03-30,EU,GB-SUD,GB,London,200km
8,1377036855611383810,https://twitter.com/c_plumpton/status/1377036855611383810,c_plumpton,Petition: Referendum on re-joining the EU https://t.co/5zJSBzYXbQ,2021-03-30,EU,GB-SUD,GB,London,200km
9,1377035843911749634,https://twitter.com/BusinessGreen/status/1377035843911749634,BusinessGreen,"EU risks 'overestimating' costs of meeting 2030 climate goals, businesses warn  https://t.co/SjRTlxZ1dh",2021-03-30,EU,GB-SUD,GB,London,200km
10,1377035421708849155,https://twitter.com/BrexitHome/status/1377035421708849155,BrexitHome,"Letters: The last thing that a pandemic treaty needs is interference by the EU, say Telegraph readers https://t.co/DTePrFHNp1",2021-03-30,EU,GB-SUD,GB,London,200km
11,1377034624392650753,https://twitter.com/BrickWallMattyp/status/1377034624392650753,BrickWallMattyp,I gotta disregard my last tweet he is a west player not EU😭,2021-03-30,EU,GB-SUD,GB,London,200km
12,1377032149333839876,https://twitter.com/MissCharlottiee/status/1377032149333839876,MissCharlottiee,"Here's this week's UPDATED Stream Schedule! Look forward to both Falcone's &amp; the Nexgen EU lobbies for Among Us this week! (29/03/2021, BST)  https://t.co/WuHdPUrkxJ 🦒💜

#Twitch #Streaming #TwitchStreamers #TwitchAffilate #SmallStreamers #FranticGaming https://t.co/jswqOxxaY9",2021-03-30,EU,GB-SUD,GB,London,200km
13,1377031247499759617,https://twitter.com/Daily_Express/status/1377031247499759617,Daily_Express,"EU army fears: Germany ‘willing to give up national military’ for powerful Brussels force 
https://t.co/F9XWFp4qRZ https://t.co/DuiIgTxtQm",2021-03-30,EU,GB-SUD,GB,London,200km
14,1377031102020386817,https://twitter.com/criticaloutlook/status/1377031102020386817,criticaloutlook,"EU set to sanction more Iranians for rights abuses, first since 2013. AFT! Now next step is don’t allow that pipeline from Russia to be built. There are many snakes in the grass, be consistent,  act with integrity! 

https://t.co/ytgsNc7mXr",2021-03-30,EU,GB-SUD,GB,London,200km
15,1377029666008141828,https://twitter.com/paixaoopk/status/1377029666008141828,paixaoopk,PARTNERS 'TIL THE END EU TO CHORANDO,2021-03-30,EU,GB-SUD,GB,London,200km
16,1377025062612709376,https://twitter.com/markofbattersea/status/1377025062612709376,markofbattersea,"#Newsnight 
So, vaccine nationalism is going well, then! 
It's got EU countries turning to Vladimir Putin for vaccines! 
Good job, British media!",2021-03-30,EU,GB-SUD,GB,London,200km
17,1377024867556540418,https://twitter.com/FurtherRussia/status/1377024867556540418,FurtherRussia,"With EU suffering from Covid-19 vaccine shortage, WHO’s top European official criticizes ‘hesitation’ to https://t.co/DlqlOIF01Z",2021-03-30,EU,GB-SUD,GB,London,200km
18,1377023848621735939,https://twitter.com/FreeFamagusta/status/1377023848621735939,FreeFamagusta,"My message to the leadership is, first of all, recognise your real friends are Britain, your real market is Britain, the country that you depend upon is Britain, not the EU.

“Don’t allow yourself to be seduced by the EU, who are likely to use you and spit you out",2021-03-30,EU,GB-SUD,GB,London,200km
19,1377022978152656899,https://twitter.com/StateOfTigrai/status/1377022978152656899,StateOfTigrai,"""Tens of thousands of Tigrayans are again being driven from their homes."" #VerifiedWithdrawalOfEritrea @POTUS @antonioguterres @GermanyDiplo @mfa_russia @SecBlinken @UN @francediplo_EN @ItalyMFA @EU_Commission #TigrayGenocide
https://t.co/uPXE1kHOpC",2021-03-30,EU,GB-SUD,GB,London,200km
20,1377022898666414086,https://twitter.com/StateOfTigrai/status/1377022898666414086,StateOfTigrai,"“They said you guys don’t belong here,” ......“They said if we stay, they will kill us.” #VerifiedWithdrawalOfEritrea @hrw @POTUS @SecBlinken @EU_Commission @UN @antonioguterres 
https://t.co/629UUAPOXl",2021-03-30,EU,GB-SUD,GB,London,200km
21,1377021543532916742,https://twitter.com/sirebel/status/1377021543532916742,sirebel,"The first sign that this government is ready to admit it messed up and rejoin the EU?

Yeah I know but we can live in hope. https://t.co/IXDfOqz3d0",2021-03-30,EU,GB-SUD,GB,London,200km
22,1377021289500581893,https://twitter.com/samuelkigula/status/1377021289500581893,samuelkigula,"Article: EU plan threatens British participation in hi-tech research
EU plan threatens British participation in hi-tech research

https://t.co/pq32EcbeHs",2021-03-30,EU,GB-SUD,GB,London,200km
23,1377018699832524803,https://twitter.com/AlemTse29406784/status/1377018699832524803,AlemTse29406784,"'Reports of ongoing massacres, mass rapes, looting of hospitals, large-scale destruction of property, and starvation as a tool of war continue to emerge.' #VerifiedWithdrawalOfEritrea @SecBlinken @UN @francediplo_EN @ItalyMFA @EU_Commission @mfa_russia https://t.co/hfxsCompd2",2021-03-30,EU,GB-SUD,GB,London,200km
24,1377017047436103684,https://twitter.com/Alleninvest/status/1377017047436103684,Alleninvest,"The #EU is discovering ever more ingenious ways to make itself a global irrelevance. It is repressive, racist, and protectionist, and repeatedly proves itself untrustworthy economically, socially and diplomatically. https://t.co/C8uN2H1Uxy",2021-03-30,EU,GB-SUD,GB,London,200km
25,1377016919841181699,https://twitter.com/TheSav_Savva84/status/1377016919841181699,TheSav_Savva84,"It's official, halloumi is Cypriot 💯
EU has finally registered Cyprus’ traditional cheese halloumi as a product of Protected Designation of Origin (P.D.O), after many years of efforts on behalf of the Republic of Cyprus 🇨🇾
#lovehalloumi 🧡 https://t.co/9DzCTBSQT0",2021-03-30,EU,GB-SUD,GB,London,200km
26,1377014466831859714,https://twitter.com/ScArrD_F8/status/1377014466831859714,ScArrD_F8,DSR 50 the only correct answer https://t.co/ysvli5SCsm,2021-03-30,EU,GB-SUD,GB,London,200km
27,1377014282303332352,https://twitter.com/SuriyaSubraman/status/1377014282303332352,SuriyaSubraman,"EXCLUSIVE: Europe Must Close Huge Tech Gap, Says EU Digital Chief - https://t.co/wtkOkYGwKA: EXCLUSIVE: Europe Must Close Huge Tech Gap, Says EU Digital Chief  https://t.co/wtkOkYGwKA https://t.co/ldsr7D9Ot6 #datagovernance #CDO #finperform https://t.co/2KkWJXsH6Y",2021-03-30,EU,GB-SUD,GB,London,200km
