,id,permalink,username,text,date,parola_cercata,location,area,citta,raggio
0,1377035898794213376,https://twitter.com/Vintrae/status/1377035898794213376,Vintrae,"Never imagined signing up could be as fun of a process as @hackthebox_eu have made it. I'm just starting, but I'm looking forward to the experience.",2021-03-30,EU,GB-Center,GB,Manchester,200km
1,1377020085383094272,https://twitter.com/MarkInNorthWest/status/1377020085383094272,MarkInNorthWest,"Go British! Boris told to ban foreign holidays and shut borders ALL summer  
@BorisJohnson SHOULD level with the public and say that the coronavirus pandemic vaccines have been handled terribly in EU and we must stay in UK for 2021 to avoid Covid mutations https://t.co/NcSQ46gh8H",2021-03-30,EU,GB-Center,GB,Manchester,200km
2,1377017126066720773,https://twitter.com/MarkInNorthWest/status/1377017126066720773,MarkInNorthWest,"Why UK government is vastly superior to EU | OpenDemocracy

‘EU, speaks of democracy &amp; rule of law, even as it negates them. Unification of a Continent by stealth or by diktat.
Of the EU27 none has a continuous parliament comparable to that in England.’ https://t.co/vrdrNAZiUO",2021-03-30,EU,GB-Center,GB,Manchester,200km
3,1377013985422245895,https://twitter.com/quietglitch/status/1377013985422245895,quietglitch,"eu a decidir qual jogo apagar ignorando a pasta de 200gb de livestreams guardadas smh
--
not me deciding which game to yeet off the hdd and turning a blind eye to the 200gb folder with saved livestreams smh",2021-03-30,EU,GB-Center,GB,Manchester,200km
4,1376996877313437700,https://twitter.com/Mydaboom/status/1376996877313437700,Mydaboom,The EU needs to make its fucking mind up on the AstraZenca vaccine. A few days ago they whine they don't have enough and yet today stop its use again.,2021-03-30,EU,GB-Center,GB,Manchester,200km
5,1376996067217182722,https://twitter.com/cameronleemc/status/1376996067217182722,cameronleemc,"EU in the mud, you love to see it https://t.co/gGyGd33Dsa",2021-03-30,EU,GB-Center,GB,Manchester,200km
6,1376993045795766282,https://twitter.com/philmartin100/status/1376993045795766282,philmartin100,Please circulate to any Romanes speakers - deadline for EU citizens to apply to EUSS is this June https://t.co/qLiJMph6w9,2021-03-30,EU,GB-Center,GB,Manchester,200km
7,1376986458096074755,https://twitter.com/JoshyyEU/status/1376986458096074755,JoshyyEU,Swear this is the 20th time Portugal have played Luxembourg in the last 2 years,2021-03-30,EU,GB-Center,GB,Manchester,200km
8,1376984497309237248,https://twitter.com/LegioPep/status/1376984497309237248,LegioPep,"A+ Dutch riot police can't speak Dutch , were they really EU Stormtroopers  ? https://t.co/lMxhLget21",2021-03-30,EU,GB-Center,GB,Manchester,200km
9,1376983735250399232,https://twitter.com/techpearce3/status/1376983735250399232,techpearce3,"Healthcare Data on Dark Web: How Threat Actors Exploit Covid-19 

@web40art
@revindkumar
@NuCredits
@verma_Gaurav05
@abhishek__AI
@iamrws
@kimadele10
@arlenenewbigg
@alexeev_eu
@VanRijmenam

https://t.co/jcY9GnsqVw",2021-03-30,EU,GB-Center,GB,Manchester,200km
10,1376980228678025223,https://twitter.com/techpearce3/status/1376980228678025223,techpearce3,"What Are You Worth On The Dark Web? via @ForbesTech 

@t4_research
@kevinjamesculp
@bdmoyer
@AzfarLabib
@star95011
@MarthPaterniti
@eprnr
@alexeev_eu
@Venafi
@sufiyanmalik_
@jmcbentley

https://t.co/O8jqG8n7Iw",2021-03-30,EU,GB-Center,GB,Manchester,200km
11,1376977890613551118,https://twitter.com/Cpass12David/status/1376977890613551118,Cpass12David,"Apple and Google collect massive amounts of information on iPhones and Pixel handset users every four and a half minutes. They even know who is standing close to them.
Not much point in worrying about identity cards.",2021-03-30,EU,GB-Center,GB,Manchester,200km
12,1376975439885967363,https://twitter.com/Cpass12David/status/1376975439885967363,Cpass12David,A fire assessor who examined Grenfell Tower before the blaze that killed 27 people invented his qualifications. He assured the fire brigade that the 24-storey block met regulations.,2021-03-30,EU,GB-Center,GB,Manchester,200km
13,1376974513938792456,https://twitter.com/Cpass12David/status/1376974513938792456,Cpass12David,It’s claimed that he wouldn’t accuse himself of that and would be appalled if somebody did so. https://t.co/a3fUY0AOpZ,2021-03-30,EU,GB-Center,GB,Manchester,200km
14,1376974032751489025,https://twitter.com/VillageGreensUK/status/1376974032751489025,VillageGreensUK,"A chewable #multivitamin formulated by @TheVeganSociety in conjunction with HealthPlus.⁠ Designed specifically for #vegans, this supplement provides EU recommended Nutrient Reference Intake (NRV) of B2, B6, B12, D3, Folic Acid, Iodine ⁠&amp; Selenium 
#prestwich #prestwichvillage https://t.co/UgTlBg7RCF",2021-03-30,EU,GB-Center,GB,Manchester,200km
15,1376971322857766913,https://twitter.com/ThatGuyCyber/status/1376971322857766913,ThatGuyCyber,Mess with the Tonk you get the Bonk! Heroic Daddy D progress! [Alliance/EU] https://t.co/npMY7707WO,2021-03-30,EU,GB-Center,GB,Manchester,200km
16,1376970316828835851,https://twitter.com/Cpass12David/status/1376970316828835851,Cpass12David,"Jennifer Arcuri claims to have been Boris Johnson’s mistress, he hasn’t denied it. Allegedly she was later abandoned. Her business received £126,000 of taxpayers money. His salaried press secretary, Allegra Stratton defended him saying that he “acts with integrity and is honest.”",2021-03-30,EU,GB-Center,GB,Manchester,200km
17,1376964879719006214,https://twitter.com/Cpass12David/status/1376964879719006214,Cpass12David,The digital agency behind the shambolic government’s contact tracing app has been given the job of developing vaccine passports. Michael Gove informed MPs yesterday in an hour-long private meeting.,2021-03-30,EU,GB-Center,GB,Manchester,200km
18,1376952418592772104,https://twitter.com/JoshyyEU/status/1376952418592772104,JoshyyEU,I honestly really hope this happens...better for his family if he stays in Manchester as well https://t.co/zBmcKGCuUx,2021-03-30,EU,GB-Center,GB,Manchester,200km
