,id,permalink,username,text,date,parola_cercata,location,area,citta,raggio
0,1377024169670545421,https://twitter.com/OlafFoss/status/1377024169670545421,OlafFoss,"«The leaders paid particular attention to joining efforts in the fight against the #COVID_19 #pandemic, including the possibility of registering, using and producing the Russian #vaccine Sputnik V in European Union (EU) countries» https://t.co/9iBEB7UV6U",2021-03-30,EU,EU-Nord,EU,Oslo,200km
1,1377018285246590979,https://twitter.com/kahsay9/status/1377018285246590979,kahsay9,"“They said you guys don’t belong here,” ......“They said if we stay, they will kill us.” #VerifiedWithdrawalOfEritrea @hrw @POTUS @SecBlinken @EU_Commission @UN @antonioguterres https://t.co/KpCLcAkPvc",2021-03-30,EU,EU-Nord,EU,Oslo,200km
2,1377017980836532228,https://twitter.com/kahsay9/status/1377017980836532228,kahsay9,"""Tens of thousands of Tigrayans are again being driven from their homes."" #VerifiedWithdrawalOfEritrea @POTUS @antonioguterres @GermanyDiplo @mfa_russia @SecBlinken @UN @francediplo_EN @ItalyMFA @EU_Commission #TigrayGenocide https://t.co/usnRuUSjuw",2021-03-30,EU,EU-Nord,EU,Oslo,200km
3,1377016820834705418,https://twitter.com/TechniqueEU/status/1377016820834705418,TechniqueEU,"shit daytoday, hopefully tmrw is better 🐯",2021-03-30,EU,EU-Nord,EU,Oslo,200km
4,1376988425342058500,https://twitter.com/TechniqueEU/status/1376988425342058500,TechniqueEU,"Hate when people never lisen to me, or even trust my calls, most boring and demotivating shit",2021-03-30,EU,EU-Nord,EU,Oslo,200km
5,1376962995394387969,https://twitter.com/TechniqueEU/status/1376962995394387969,TechniqueEU,that was not me btw guys😲,2021-03-30,EU,EU-Nord,EU,Oslo,200km
6,1376943621577015300,https://twitter.com/espeelstad/status/1376943621577015300,espeelstad,It is High Time That France and EU Support Morocco in Its Position (French Senator) https://t.co/PH2j5wtQNF,2021-03-30,EU,EU-Nord,EU,Oslo,200km
7,1376942462082686977,https://twitter.com/SonyKapoor/status/1376942462082686977,SonyKapoor,"My #MustRead of the Day ... 

@stephanygj writing in the @FT 

The #EU´s ‘green and just’ transition starts with its #RecoveryFund  

https://t.co/MGe5zO89EZ",2021-03-30,EU,EU-Nord,EU,Oslo,200km
8,1376939264215298051,https://twitter.com/astrofysikk/status/1376939264215298051,astrofysikk,"The design study of the world's largest single-dish  sub-mm astronomical telescope begins now! The  @EU_H2020  @atlast_design relies on the expertises of astronomers, engineers and scientists in energy systems from @astrofysikk @UiO_ResearchMN @ESO @UniofHerts @UKRI_News @OHB_DS https://t.co/AOqy5XJj1u",2021-03-30,EU,EU-Nord,EU,Oslo,200km
9,1376902034675408901,https://twitter.com/TechniqueEU/status/1376902034675408901,TechniqueEU,does legit noone have a drop map of catty main?,2021-03-30,EU,EU-Nord,EU,Oslo,200km
10,1376892964044169216,https://twitter.com/iyad_elbaghdadi/status/1376892964044169216,iyad_elbaghdadi,*Cries in EU* https://t.co/hBuXIQn7xe,2021-03-30,EU,EU-Nord,EU,Oslo,200km
11,1376885941219037188,https://twitter.com/Anders_om_vann/status/1376885941219037188,Anders_om_vann,"""Nature as we know it is heading towards extinction. And it’s because of human activity. Right now, the Commission is asking the public to give their opinion on what nature restoration across the EU should look like – but only until the 5th of April 2021"".
https://t.co/CjTt7zQ9aT",2021-03-30,EU,EU-Nord,EU,Oslo,200km
12,1376883546082672640,https://twitter.com/CarolineGruyter/status/1376883546082672640,CarolineGruyter,"Next step: according to @DiePressecom Austria is ""in intensive negotiation"" with Russia for one million doses of the Sputnik vaccin - not even authorized in the EU https://t.co/CWH9F2MRBY via @DiePressecom",2021-03-30,EU,EU-Nord,EU,Oslo,200km
13,1376880019725811713,https://twitter.com/TechniqueEU/status/1376880019725811713,TechniqueEU,makeshift still does not shoot ffs,2021-03-30,EU,EU-Nord,EU,Oslo,200km
14,1376876628987510790,https://twitter.com/TechniqueEU/status/1376876628987510790,TechniqueEU,does someone have a dropmap for catty they want to share with me ? :),2021-03-30,EU,EU-Nord,EU,Oslo,200km
15,1376853494024536064,https://twitter.com/yonakov/status/1376853494024536064,yonakov,"“How can we live without being able to pray in our own churches?” #InvadersOutOfTigray @SecBlinken @UN @francediplo_EN @ItalyMFA @EU_Commission @mfa_russia @POTUS @VP @ChrisCoons @GermanyDiplo 
https://t.co/9dnR7m1MHu",2021-03-30,EU,EU-Nord,EU,Oslo,200km
16,1376851444507279368,https://twitter.com/TechniqueEU/status/1376851444507279368,TechniqueEU,TAKE ME BACK 🥲 @xtomsore huset https://t.co/8XQZtsCIVl,2021-03-30,EU,EU-Nord,EU,Oslo,200km
17,1376850655713894403,https://twitter.com/haftomso/status/1376850655713894403,haftomso,"""Tens of thousands of Tigrayans are again being driven from their homes."" #VerifiedWithdrawalOfEritrea #TigrayGenoicde @POTUS @antonioguterres @GermanyDiplo @mfa_russia @SecBlinken @UN @francediplo_EN @ItalyMFA @EU_Commission
https://t.co/USipHvxjLf",2021-03-30,EU,EU-Nord,EU,Oslo,200km
18,1376850090929836036,https://twitter.com/CarolineGruyter/status/1376850090929836036,CarolineGruyter,Bank of England clamping down on businesses moving to the EU - a clear sign that things are not going too well https://t.co/jcpG83XL8o,2021-03-30,EU,EU-Nord,EU,Oslo,200km
19,1376844641006419968,https://twitter.com/TechniqueEU/status/1376844641006419968,TechniqueEU,performnce mode feels so fucking good wtf?,2021-03-30,EU,EU-Nord,EU,Oslo,200km
20,1376840708380884999,https://twitter.com/CroatianOslo/status/1376840708380884999,CroatianOslo,"On basis of all-natural potential for sustainable agriculture, #Croatia has become one of the top #EU countries for organic #agricultural production. 
Existing varieties will be gathered in national list facilitating production and marketing of old indigenous genotypes https://t.co/Q51iTzhnza",2021-03-30,EU,EU-Nord,EU,Oslo,200km
21,1376835080212119557,https://twitter.com/TechniqueEU/status/1376835080212119557,TechniqueEU,asomeone i chill w come aim duel,2021-03-30,EU,EU-Nord,EU,Oslo,200km
