,id,permalink,username,text,date,parola_cercata,location,area,citta,raggio
0,1377034095436398596,https://twitter.com/EUEagleHawk1/status/1377034095436398596,EUEagleHawk1,"I need this. I need to save money to get this when it comes out.
time for the 13th battle of Isonzo ;)
https://t.co/yIQIxewRCl",2021-03-30,EU,EU-CENTRAL,EU,Roma,400km
1,1377030391467499521,https://twitter.com/EUEagleHawk1/status/1377030391467499521,EUEagleHawk1,"yay, 500th tweet!",2021-03-30,EU,EU-CENTRAL,EU,Roma,400km
2,1377029684832169984,https://twitter.com/EUEagleHawk1/status/1377029684832169984,EUEagleHawk1,"I need to post one more tweet before my 500th one. So, idk what to post. Here, imma send a photo of my 3 birbs :) https://t.co/2NxNbvq9Um",2021-03-30,EU,EU-CENTRAL,EU,Roma,400km
3,1377026797024518150,https://twitter.com/felox210/status/1377026797024518150,felox210,"We fall short in @valesports_eu in a 2-1 series vs @19esportsmx, ggs to my bro @jonbaes next time we will get you 😁",2021-03-30,EU,EU-CENTRAL,EU,Roma,400km
4,1377022677496557568,https://twitter.com/livinginitaly/status/1377022677496557568,livinginitaly,Italy imposes quarantine for all travellers arriving from EU https://t.co/OlewJbVWrk,2021-03-30,EU,EU-CENTRAL,EU,Roma,400km
5,1377022045154902018,https://twitter.com/vincecersosimo/status/1377022045154902018,vincecersosimo,"Frugal northern EU states worry about Italy wasting its recovery money. The bigger challenge is whether it will invest it at all, says @SandersonRach https://t.co/vNQMhVAT2O via @bopinion",2021-03-30,EU,EU-CENTRAL,EU,Roma,400km
6,1377007294496579584,https://twitter.com/panelinhus/status/1377007294496579584,panelinhus,eu canto oops i did it again como se eu nao fosse that inocent,2021-03-30,EU,EU-CENTRAL,EU,Roma,400km
7,1377005335274225678,https://twitter.com/Agenparl/status/1377005335274225678,Agenparl,EU rail transport - #European Year of Rail 2021 is the right time for change - https://t.co/rB4M9nr6ZX #Agenparl https://t.co/YwxcP9moJA,2021-03-30,EU,EU-CENTRAL,EU,Roma,400km
8,1377000939991752704,https://twitter.com/PulciniRemo/status/1377000939991752704,PulciniRemo,"THE GREAT RESET: Global Elites Socialist Plan Revealed They Call it the Great... https://t.co/hiJWGIvnCu via @amazon 

#US #RESET #EU #uk #COVID19 #WHO",2021-03-30,EU,EU-CENTRAL,EU,Roma,400km
9,1377000550072467458,https://twitter.com/PulciniRemo/status/1377000550072467458,PulciniRemo,"IL GRANDE RESET : Global Elites Socialist Plan Revealed—They Call it the Grea... https://t.co/lcMGDn2gd0 via @amazon 

#US #RESET #EU #uk #COVID19 #WHO",2021-03-30,EU,EU-CENTRAL,EU,Roma,400km
10,1376993058810630144,https://twitter.com/yodit_lemlem/status/1376993058810630144,yodit_lemlem,"""Mibrak describes how she was shot in the thigh as her brother and sister screamed in terror. The soldiers, she says, were Eritrean."" #VerifiedWithdrawalOfEritrea #TigrayGenocide @SecBlinken @UN @francediplo_EN @ItalyMFA @EU_Commission @POTUS @ChrisCoons 
https://t.co/Ot90aX0Bbo",2021-03-30,EU,EU-CENTRAL,EU,Roma,400km
11,1376989447892402179,https://twitter.com/yodit_lemlem/status/1376989447892402179,yodit_lemlem,"""If you don’t bring your father, your brothers, you don’t get the aid, you’ll starve.”--A view into how Hunger used as a weapon against civilians in #Tigray's
#VerifiedWithdrawalOfEritrea @UN @jaketapper @hrw @POTUS @SecBlinken @EU_Commission @SenBooker 
https://t.co/sop7KUzx94",2021-03-30,EU,EU-CENTRAL,EU,Roma,400km
12,1376988061075132416,https://twitter.com/CoolgearEU/status/1376988061075132416,CoolgearEU,#makelifearide #rninet #bmwmotorrad #harleydavidson Roland Sands Valve Covers R NineT / R1200 https://t.co/OSrzmCoOez,2021-03-30,EU,EU-CENTRAL,EU,Roma,400km
13,1376986368598028303,https://twitter.com/ItalianPolitics/status/1376986368598028303,ItalianPolitics,"EU Attempts to Take Measures to Discredit Russian COVID Vaccine, Intelligence Service Says: https://t.co/gWoTZOhJLS via @SputnikInt",2021-03-30,EU,EU-CENTRAL,EU,Roma,400km
14,1376985496308617217,https://twitter.com/Chris_Orders/status/1376985496308617217,Chris_Orders,"🇬🇧: sorry if i'm not replying to DMs but I'm full of requests so please be patient 🥺🙏🏻❤.  Also I apologize if I still haven't managed to finish contacting for SKZ tickets, I'm trying to go as fast as possible 😔

🇮🇹 Ita ⬇",2021-03-30,EU,EU-CENTRAL,EU,Roma,400km
15,1376984624409280518,https://twitter.com/yodit_lemlem/status/1376984624409280518,yodit_lemlem,"""Tens of thousands of Tigrayans are again being driven from their homes."" #VerifiedWithdrawalOfEritrea @POTUS @antonioguterres @GermanyDiplo @mfa_russia @SecBlinken @UN @francediplo_EN @ItalyMFA @EU_Commission #TigrayGenocide
https://t.co/fCTalK9vVj",2021-03-30,EU,EU-CENTRAL,EU,Roma,400km
16,1376980339470561288,https://twitter.com/gavinjones10/status/1376980339470561288,gavinjones10,"Italy says talks with EU on Alitalia stalled, new plan needed https://t.co/mHQ0A6BpqK",2021-03-30,EU,EU-CENTRAL,EU,Roma,400km
17,1376958800674967555,https://twitter.com/FlaShBloGLive/status/1376958800674967555,FlaShBloGLive,EU fines ratings agency Moody's €3.7m over conflicts of interest - News24 https://t.co/pEhjj9XUlP,2021-03-30,EU,EU-CENTRAL,EU,Roma,400km
18,1376956999020244993,https://twitter.com/ematr_86/status/1376956999020244993,ematr_86,"#U21EURO group B four EU Teams (ESP, ITA, CZE, SLO) -",2021-03-30,EU,EU-CENTRAL,EU,Roma,400km
19,1376956737610211335,https://twitter.com/ematr_86/status/1376956737610211335,ematr_86,"#U21EURO around group A we had two EU succursals (ROU, HUN) and two EU not succursals (NED, GER)",2021-03-30,EU,EU-CENTRAL,EU,Roma,400km
20,1376955378563481607,https://twitter.com/ematr_86/status/1376955378563481607,ematr_86,We have a lot of match fixing around Eu National Teams #u21euro,2021-03-30,EU,EU-CENTRAL,EU,Roma,400km
