,id,permalink,username,text,date,parola_cercata,location,area,citta,raggio
0,1377029587713077249,https://twitter.com/AmbVWD/status/1377029587713077249,AmbVWD,EU mediator Christian Danielsson publishes proposal made today to Georgian political parties - European External Action Service ⁦@OSCE⁩ ⁦@SweMFA⁩ #EU #svpol  https://t.co/nIXax6wwSy,2021-03-30,EU,EU-Nord,EU,Stoccolma,200km
1,1377015094375284757,https://twitter.com/tim_e_gore/status/1377015094375284757,tim_e_gore,"..the challenge of consumption emissions is intrinsically tied 2 inequality. The richest 10% of the global pop'n r responsible 4 &gt;1/2 the emissions. In the EU, the emissions of the poorest 1/2 of citizens fell by 1/4 1990-2015 but grew 4 the richest 10%..
https://t.co/u33CMNpUVZ",2021-03-30,EU,EU-Nord,EU,Stoccolma,200km
2,1377012039487475713,https://twitter.com/janerle2002/status/1377012039487475713,janerle2002,"I would like to see @Folkhalsomynd explain this to us, please: 👇

cc: @lenahallengren @socialdep @socialdemokrat @miljopartiet @Centerpartiet @liberalerna @kdriks @moderaterna @vansterpartiet @WHO @ECDC_EU @DrTedros @DrMikeRyan @mvankerkhove @SVTHolmberg https://t.co/IjFEeOaVRT",2021-03-30,EU,EU-Nord,EU,Stoccolma,200km
3,1376998238931320838,https://twitter.com/skylineforhuman/status/1376998238931320838,skylineforhuman,"Eleven members of the Parliament of the #EU have called on #RealMadrid to reject a Saudi-state-owned project called #Qiddiya worth €150 million deal with the Club allowing the company to become the lead sponsor of the #Women’s team at the club.

More: https://t.co/t1MD2nShPY",2021-03-30,EU,EU-Nord,EU,Stoccolma,200km
4,1376977289297203211,https://twitter.com/Picowlo/status/1376977289297203211,Picowlo,"Finally a Brexit benefit as Brexiters boycott holidaying in the EU.
(at least if you are living in the EU. ;) https://t.co/XjL8eogque",2021-03-30,EU,EU-Nord,EU,Stoccolma,200km
5,1376970602867789824,https://twitter.com/libamu/status/1376970602867789824,libamu,"The EU, the USA and other international parties rarely talk about other well documented, ‘ethnic cleansing’ episodes in Ethiopia: the ongoing mass killings of Amharic-speaking and other minority groups in different parts of Ethiopia are ignored.Why? #UnityForEthiopia #EU #USA",2021-03-30,EU,EU-Nord,EU,Stoccolma,200km
6,1376969411643502598,https://twitter.com/libamu/status/1376969411643502598,libamu,"In the last 2-3 past years, there has been a series of shocking terrorist attacks by ‘ethnicist’ and perhaps also religious extremist groups on innocent civilians in Western Ethiopia, notably in Shashemene, Wollega (Oromia) and the Metekkel area #EU, #USA, #UnityForEthiopia",2021-03-30,EU,EU-Nord,EU,Stoccolma,200km
7,1376968785157095431,https://twitter.com/Genet53868167/status/1376968785157095431,Genet53868167,"Tens of thousands of Tigrayans are again being driven from their homes."" #VerifiedWithdrawalOfEritrea @POTUS @antonioguterres @GermanyDiplo @mfa_russia @SecBlinken @UN @francediplo_EN @ItalyMFA @EU_Commission #TigrayGenocide
https://t.co/wLMlxL7WHt",2021-03-30,EU,EU-Nord,EU,Stoccolma,200km
8,1376957212904538119,https://twitter.com/Gebrehi26983362/status/1376957212904538119,Gebrehi26983362,"""Tens of thousands of Tigrayans are again being driven from their homes."" #VerifiedWithdrawalOfEritrea #TigrayGenoicde @POTUS @antonioguterres @GermanyDiplo @mfa_russia @SecBlinken @UN @francediplo_EN @ItalyMFA @EU_Commission
https://t.co/lBEfVtx8DG",2021-03-30,EU,EU-Nord,EU,Stoccolma,200km
9,1376957038819958786,https://twitter.com/Gebrehi26983362/status/1376957038819958786,Gebrehi26983362,"""Ethiopian government troops have been accused of joining forces with soldiers from neighboring Eritrea to brutalize and rape Tigrayan women"" #TigrayGenocide #AmharaOutOfTigray @UN @antonioguterres @POTUS @EU_Commission @GermanyDiplo @ChrisCoons 
https://t.co/L5f18g4HeU",2021-03-30,EU,EU-Nord,EU,Stoccolma,200km
10,1376956354372505600,https://twitter.com/Gebrehi26983362/status/1376956354372505600,Gebrehi26983362,"Mar 26 Abiy Ahmed: Eritrea to withdraw troops from #Tigray
*when will it begin?
*when will it end?
*who will monitor?
*who will verify?
#VerifiedWithdrawalOfEritrea 

@StateDept @USAmbUN @SenateForeign @HouseForeign @FCDOGovUK @dfatirl @NorwayMFA @eu_eeas @GermanyDiplo @Haavisto",2021-03-30,EU,EU-Nord,EU,Stoccolma,200km
11,1376955831586013189,https://twitter.com/Gebrehi26983362/status/1376955831586013189,Gebrehi26983362,"Eritrea abducted children from their families and forced them to fight in its brutal war on #Tigray

@hrw @amnesty @UNHumanRights @StateDept @FCDOGovUK @dfatirl @NorwayMFA @eu_eeas @SweMFA @GermanyDiplo @DanishMFA @Ulkoministerio @DutchMFA @CanadaFP",2021-03-30,EU,EU-Nord,EU,Stoccolma,200km
