,id,permalink,username,text,date,parola_cercata,location,area,citta,raggio
0,1376996541278355456,https://twitter.com/keremekesze/status/1376996541278355456,keremekesze,"Day 1 - 2x 2:0 - no problem. 2nd day welcome #VCT 
@valesports_eu",2021-03-30,EU,EU-est,EU,varsavia,300km
1,1376956255483408385,https://twitter.com/WojciechKosc/status/1376956255483408385,WojciechKosc,"Predictably, @GreenpeaceEU are raging after the @EU_ScienceHub's positive report on nuclear energy in the context of green taxonomy.

https://t.co/aFNHOfDado",2021-03-30,EU,EU-est,EU,varsavia,300km
2,1376952885267824641,https://twitter.com/JakubowskiKrzy/status/1376952885267824641,JakubowskiKrzy,There is even more shivering word the EU pretends to know not: stagflation https://t.co/K2JcZnip7Y,2021-03-30,EU,EU-est,EU,varsavia,300km
3,1376933570137235456,https://twitter.com/chevieri/status/1376933570137235456,chevieri,i will stream in eu evening times so pls excuse me jhfdsjfsd if i have enough us/japan/korean followers i will consider other times on weekends but yeah i will stream whenever im lonely fhsdjfhsd,2021-03-30,EU,EU-est,EU,varsavia,300km
4,1376925565198995463,https://twitter.com/keremekesze/status/1376925565198995463,keremekesze,"it's finally time for match day, coludn't wait. let's go!!
@valesports_eu #VCT",2021-03-30,EU,EU-est,EU,varsavia,300km
5,1376919878272188417,https://twitter.com/tahirqadiry/status/1376919878272188417,tahirqadiry,"1/2 The Dushanbe Declaration of the 
9th Min Conf of @HeartofAsia_IP is adopted by the FMs &amp; high-level representatives of various countries &amp; supported by various regional &amp; international orgs. like the @UN, the @EU_Commission, @NATO , &amp; @sarco_sec ( https://t.co/1d8l2lp6Ut ) https://t.co/RWCwkfNQRZ",2021-03-30,EU,EU-est,EU,varsavia,300km
6,1376916046309957642,https://twitter.com/SLOinPOL/status/1376916046309957642,SLOinPOL,"Ambassador Forštnarič Boroje: “Great pleasure to meet @ZygisPavilionis &amp; @Morkunaite in person! Thank you for a very good exchange of views on a range of regional/international &amp; #EU 🇪🇺 matters, including the upcoming #EU2021SI”

@MZZRS https://t.co/eLPt7W1Ykb",2021-03-30,EU,EU-est,EU,varsavia,300km
7,1376912108823011332,https://twitter.com/VisegradInsight/status/1376912108823011332,VisegradInsight,"• The upcoming parliamentary elections in #Bulgaria may further increase the role of the nationalist rhetoric in Bulgarian politics. This will have negative reverberations for the EU’s relations with the countries of the Western Balkans #EaP2030
https://t.co/DF5cB9fv31",2021-03-30,EU,EU-est,EU,varsavia,300km
8,1376889128789282822,https://twitter.com/Ballista_GG/status/1376889128789282822,Ballista_GG,"We can finally announce our fifth @PlayVALORANT team member 🔥 You know him well and his track record speaks for itself - @neextrela - welcome to Ballista👊 Neex will debut under our banner in today's @valesports_eu quals🔫

#ballista #newkidontheblock https://t.co/lOk0Ltrj2s",2021-03-30,EU,EU-est,EU,varsavia,300km
9,1376867865253584900,https://twitter.com/TheRealCJAuthor/status/1376867865253584900,TheRealCJAuthor,"Conundrum of the day:
If the Greased Albino Piglet shot an immigrant in Parliament Square, would @BBCNews report it?
And if it did, how would Laura spin the story to make it look like it was the EU's fault?
#ToryTraitors #Brexshit #StopTheCoup",2021-03-30,EU,EU-est,EU,varsavia,300km
10,1376866016450519041,https://twitter.com/luismalhadinhas/status/1376866016450519041,luismalhadinhas,"Vaccination is the de-facto game changer. Would the EU let it be?

Vaccine trouble puts Europe’s recovery out of sight https://t.co/iVPaTAVUnM",2021-03-30,EU,EU-est,EU,varsavia,300km
11,1376863649403387908,https://twitter.com/MariuszJagora/status/1376863649403387908,MariuszJagora,"Slovakia Becomes the First EU Nation to Formally Approve Ivermectin for Both Prophylaxis and Treatment for COVID-19 Patients
https://t.co/WS6RsyT5nF",2021-03-30,EU,EU-est,EU,varsavia,300km
12,1376858743938383873,https://twitter.com/ILoveGayPoland/status/1376858743938383873,ILoveGayPoland,"Polish LGBTQ activist @BartStaszewski: ""There is a price that you have to pay for activism, and I’m willing to pay that"" @LGBTPinkieB - The EU has been declared an LGBTIQ 'Freedom Zone'. Sadly, however, the reality on the ground in places like Poland...
https://t.co/Y7ZjRvnCgC https://t.co/8XpZ4HP59d",2021-03-30,EU,EU-est,EU,varsavia,300km
13,1376856845277626370,https://twitter.com/ElizaAmati/status/1376856845277626370,ElizaAmati,"Vaccination is progressing steadily in the EU. 

As of 28 March, it is estimated:
✅88 million vaccine doses have been delivered 
✅62 million vaccine doses have been administered 

#SafeVaccines
 https://t.co/u6MwRVNTqe",2021-03-30,EU,EU-est,EU,varsavia,300km
14,1376852437588402176,https://twitter.com/Skolimowski/status/1376852437588402176,Skolimowski,'Lack of perspective': why Ursula von der Leyen's EU vaccine strategy is failing https://t.co/nfLLqrgN8J,2021-03-30,EU,EU-est,EU,varsavia,300km
15,1376840356902359042,https://twitter.com/ElizaAmati/status/1376840356902359042,ElizaAmati,"With the EU Child Rights Strategy, the Commission will address persisting and emerging challenges and propose concrete actions to protect, promote and fulfil children’s rights in today’s ever-changing world. https://t.co/znzr4Frjy4",2021-03-30,EU,EU-est,EU,varsavia,300km
16,1376824610059132929,https://twitter.com/Polandin_com/status/1376824610059132929,Polandin_com,"#Sanitary controls, which have been taking place since February at the #borders with the Czech Republic and Slovakia, are also being carried out at every land border of #Poland constituting internal borders of the EU, that is, #Germany and Lithuania.

More:https://t.co/Hp0xek2cA1 https://t.co/LoO1isLJjU",2021-03-30,EU,EU-est,EU,varsavia,300km
17,1376824429032972288,https://twitter.com/WarsawReview/status/1376824429032972288,WarsawReview,"EU Commissioner for Cohesion and Reform🇪🇺 @ElisaFerreiraEC  has expressed her support for expanding railways in the EU.

According to @EU_Commission data: rail only accounts for 10% of passenger transport in Europe, compared to 80% for the road.

More: https://t.co/0RuAjTtHPi https://t.co/xakvbdL8DQ",2021-03-30,EU,EU-est,EU,varsavia,300km
18,1376799215691689985,https://twitter.com/CeeBizMedia/status/1376799215691689985,CeeBizMedia,Daily News https://t.co/ipI8xOgC2I: Warsaw’s Modlin airport draws French investor; Poland pushes for gas in EU green finance rules; Iberdrola buys 163 MW of wind farms from CEE Equity Partners; SK IE to invest $1 bn to expand in Poland; Rzeczpospolita hires Deloiite to sell daily https://t.co/x6GXllZG9i,2021-03-30,EU,EU-est,EU,varsavia,300km
19,1376791301379661830,https://twitter.com/VisegradInsight/status/1376791301379661830,VisegradInsight,"• The EU is starting to pressure #Bulgaria to lift their veto against opening negotiations with North Macedonia for EU accession; however, they stopped short of officially criticising Sofia’s position #WeeklyOutlook @VisegradInsight
https://t.co/kgkNysgk0T https://t.co/uEoStFu3GD",2021-03-30,EU,EU-est,EU,varsavia,300km
20,1376787919403384836,https://twitter.com/ncreated/status/1376787919403384836,ncreated,"👋 If you are keen on iOS SDKs development and want to work in #opensource , we're hiring at @datadoghq (remote, EU). We build a high-quality monitoring solution for collecting telemetry and RUM data in iOS apps https://t.co/rymhsikOzL",2021-03-30,EU,EU-est,EU,varsavia,300km
21,1374996249280139267,https://twitter.com/joannaplucinska/status/1374996249280139267,joannaplucinska,"EU's vaccine failure is because it didn't 'shoot for the stars,' Macron says | Reuters https://t.co/TdNk0jnNni",2021-03-25,EU,EU-est,EU,varsavia,300km
22,1374084704723464195,https://twitter.com/luismalhadinhas/status/1374084704723464195,luismalhadinhas,"I have completed today the seminar “The Role of the European Council” lectured by former and very first #EUCO President Herman van Rompuy. Despite not on-site, it was an honor to listen from the President and get to know details of EUCO negotiations and of his vision for the EU. https://t.co/MXYBLvJVbE",2021-03-22,EU,EU-est,EU,varsavia,300km
23,1374056962091053057,https://twitter.com/pidybi/status/1374056962091053057,pidybi,China blacklists 10 EU officials and academics after bloc hits... https://t.co/80P6Nyl5ly,2021-03-22,EU,EU-est,EU,varsavia,300km
24,1374053520442277904,https://twitter.com/pidybi/status/1374053520442277904,pidybi,EU should impose counter-sanctions on US officials #WHO target European... https://t.co/Q4U41li95Z,2021-03-22,EU,EU-est,EU,varsavia,300km
25,1372594760389693443,https://twitter.com/Adriel_Kasonta/status/1372594760389693443,Adriel_Kasonta,Austrian 🇦🇹 leader @sebastiankurz calls for Russian 🇷🇺 #vaccine's swift approval in #EU 🇪🇺. #SputnikV via @MoscowTimes https://t.co/a5xMMSerTF,2021-03-18,EU,EU-est,EU,varsavia,300km
