,id,permalink,username,text,date,vaccino,location
0,1377045498486349824,https://twitter.com/TartWrangler/status/1377045498486349824,TartWrangler,Russian Sleeper Agents: CODEWORD ACTIVATE. AARDVARK. GLASNOST. SPUTNIK. CHOO-CHOO. EGGPLANT. MISSION: BRING ME TWO DOZEN PIROSHKI FROM CHERRY STREET IN SEATTLE. DEACTIVATE ANY OPPOSITION.,2021-03-30,Sputnik,America
1,1377033812371202058,https://twitter.com/flugennock/status/1377033812371202058,flugennock,"Cartoon by @TedRall: Tick, Tick, Boom: https://t.co/Ef5f0y5SeY via @SputnikInt",2021-03-30,Sputnik,America
2,1377028776958169091,https://twitter.com/ladykrick2/status/1377028776958169091,ladykrick2,"ok this is seriously wow........President Putin, Chancellor Merkel and President Macron discussed vaccine cooperation and possibility of registration and production of Sputnik V in Europe. Together we are stronger! 
Victory hand",2021-03-30,Sputnik,America
3,1377028537425612805,https://twitter.com/terencebjohnson/status/1377028537425612805,terencebjohnson,"I Carry You With Me
Sputnik
15 Years
The Invisible Man
Night of the Kings
Your Name Engraved Herein
Miss Juneteenth
Jallikattu

aka 8 out of my top 10 movies 😅 https://t.co/36FeP8phd6",2021-03-30,Sputnik,America
4,1377022877615198214,https://twitter.com/jtwigg9/status/1377022877615198214,jtwigg9,"Pleasure to talk with @CarolHills for @prx @TheWorld today about Russia's capacity to satisfy international demand for its Sputnik V vaccine, challenges with vaccine hesitancy at home, and Putin's decision finally to get the vaccine -- off camera. https://t.co/UPIwGEbcud",2021-03-30,Sputnik,America
5,1377019789495959553,https://twitter.com/longshipdriver/status/1377019789495959553,longshipdriver,"Worth reading and understanding. Space traffic since Sputnik has increased significantly.

https://t.co/9uNyIeuuS0",2021-03-30,Sputnik,America
6,1377017815987679234,https://twitter.com/ZAQSNews/status/1377017815987679234,ZAQSNews,Merkel and Macron in talks to use Russia's Sputnik Covid vaccine https://t.co/ZG35wTSe1e,2021-03-30,Sputnik,America
7,1377007068406767616,https://twitter.com/rpballance/status/1377007068406767616,rpballance,"Putin Tells Merkel, Macron Russia Ready to Restore Interaction With EU, If Sees Interest: https://t.co/NC74oYQjj4 via @SputnikInt",2021-03-30,Sputnik,America
8,1377007052514598915,https://twitter.com/flugennock/status/1377007052514598915,flugennock,OOOOOOHHHHH! AAAAAHHHHHH! Explosion Heard From Landing Site of SpaceX Starship Test Flight: https://t.co/n1HXR83iJE via @SputnikInt,2021-03-30,Sputnik,America
9,1377006635793649669,https://twitter.com/MAGAPACORG/status/1377006635793649669,MAGAPACORG,"PRAGUE (AP) - Slovakia’s prime minister said Sunday he will step down to clear the way for a Cabinet reshuffle that will defuse a political crisis triggered by a secret deal to buy Russia’s Sputnik V coronavirus @buglecallorg, @scottadamsshow https://t.co/lAOYt4nWxV #magapac",2021-03-30,Sputnik,America
10,1377005379800928263,https://twitter.com/flugennock/status/1377005379800928263,flugennock,"US Progressive Groups Urge Biden to Cease 'Reckless' Rhetoric With Russia, Pursue Talks: https://t.co/3qmO1k3GRi via @SputnikInt",2021-03-30,Sputnik,America
11,1377003768705908738,https://twitter.com/Trillburne/status/1377003768705908738,Trillburne,"Almost finished with the Pfizer vaccine experience. I can't decide if I want to go for the Johnson &amp; Johnson next, or maybe try something more exotic, like Sputnik.",2021-03-30,Sputnik,America
12,1377002729202192384,https://twitter.com/ferozwala/status/1377002729202192384,ferozwala,"#Iran Condemns #UK Police 'Suppression' of #Bristol Protesters, Calls for 'Human Rights' to Be Upheld  https://t.co/7MXFvX375t via @SputnikInt",2021-03-30,Sputnik,America
13,1376999321187532801,https://twitter.com/ferozwala/status/1376999321187532801,ferozwala,"#BREAKING 

Putin Tells Merkel, Macron #Russia Ready to Restore Interaction With #EU, If Sees Interest https://t.co/EpWDxx7h8t via @SputnikInt #BreakingNews",2021-03-30,Sputnik,America
14,1376999246633836545,https://twitter.com/MikeArgi/status/1376999246633836545,MikeArgi,Austria in talks to purchase 1 million Sputnik V vaccines from Russia https://t.co/cxz4Ks25zL,2021-03-30,Sputnik,America
